lecture_id,rank,title,url,reason
2026-06-29-M1-3,3,"Static Friction, Centripetal Force, Circular Motion, Car Rounding Curve & Rotor Ride Physics Problem",https://www.youtube.com/watch?v=dMgyy95uJUg,Covers static friction as the real inward force and the limiting-friction condition for maximum circular speed; its flat-curve calculation is mathematically equivalent to the turntable coin problem.
2026-06-30-M1-4,1,Physics - What Is a Centripetal Force?,https://www.youtube.com/watch?v=SQX22VVmRPs,"Establishes the lecture’s central conceptual rule: centripetal force is the inward net force, which real forces such as tension, static friction, or gravity can supply."
2026-06-30-M1-4,2,"Static Friction, Centripetal Force, Circular Motion, Car Rounding Curve & Rotor Ride Physics Problem",https://www.youtube.com/watch?v=dMgyy95uJUg,"Direct match for the flat-curve example: draw the force picture, recognize static friction as the radial force, and determine the maximum speed or required friction before slipping."
2026-06-30-M1-4,3,Banked turn Physics Problems,https://www.youtube.com/watch?v=FWXT-IzgbP0,"Best direct match for resolving the normal force on a frictionless banked curve and finding the design speed, then extending the analysis to minimum and maximum non-sliding speeds with friction."
2026-06-30-M1-4,4,Tetherball Physics Problem - Calculate Tension Force,https://www.youtube.com/watch?v=G0RikmNonoU,Closest playlist equivalent to the conical pendulum: the vertical tension component balances weight while the horizontal component supplies the inward radial force.
2026-07-02-M1-5,1,"Non-Uniform Circular Motion Problems, Centripetal Acceleration & Tangential Acceleration, Physics",https://www.youtube.com/watch?v=XlvD5_0FVSc,"Best overall match for distinguishing radial, tangential, and net acceleration and connecting them to changes in velocity direction and speed."
2026-07-02-M1-5,2,Uniform Circular Motion - Calculate Tension Force In a Horizontal & Vertical Circle,https://www.youtube.com/watch?v=K9zIjUeI32k,"Provides the closest force-based string examples, using free-body reasoning and radial Newton’s-law equations with tension and gravity."
2026-07-02-M1-5,3,How To Solve Projectile Motion Problems In Physics,https://www.youtube.com/watch?v=tfItlGfPHyo,Covers resolving an angled initial velocity and using vertical kinematics to find maximum height—the strategy needed immediately after the string is cut.
2026-07-07-M2-1,1,"Torque, Basic Introduction, Lever Arm, Moment of Force, Simple Machines & Mechanical Advantage",https://www.youtube.com/watch?v=jg4e8W44_E4,"Introduces torque, lever arms, sign conventions, and seesaw balance, matching the lecture’s torque definition and equal-opposing-torque motivation."
2026-07-07-M2-1,2,Center of Mass Physics Problems - Basic Introduction,https://www.youtube.com/watch?v=2uszSnvzBEU,"Covers weighted center-of-mass calculations for discrete masses in one and two dimensions, closely matching the two-mass and grouped-object methods."
2026-07-08-M2-2,1,Center of Mass Physics Problems - Basic Introduction,https://www.youtube.com/watch?v=2uszSnvzBEU,Builds the mass-weighted-position and balance intuition needed before the lecture’s continuous center-of-mass calculations.
2026-07-08-M2-2,2,"Inertia - Basic Introduction, Torque, Angular Acceleration, Newton's Second Law, Rotational Motion",https://www.youtube.com/watch?v=Ic_wFYu8xVs,"Provides the strongest conceptual treatment of rotational inertia, its dependence on mass distribution and axis choice, and its relationship to torque and angular acceleration."
2026-07-08-M2-2,3,Parallel Axis Theorem & Moment of Inertia - Physics Practice Problems,https://www.youtube.com/watch?v=JrkimXqnCLw,Directly teaches the shifted-axis method used to obtain and verify the lecture’s end-axis and off-center rod results.
2026-07-09-M2-3,1,"Torque, Basic Introduction, Lever Arm, Moment of Force, Simple Machines & Mechanical Advantage",https://www.youtube.com/watch?v=jg4e8W44_E4,"Establishes torque, lever arms, pivot distance, and rotational signs through leverage examples analogous to the lecture’s door and wrench problems."
2026-07-09-M2-3,2,"Inertia - Basic Introduction, Torque, Angular Acceleration, Newton's Second Law, Rotational Motion",https://www.youtube.com/watch?v=Ic_wFYu8xVs,"Connects torque with angular acceleration through rotational Newton’s second law and explains how mass distribution determines moments of inertia, including disks."
2026-07-09-M2-3,3,Rotational Dynamics - Basic Introduction,https://www.youtube.com/watch?v=dbvr-L5rxdg,"Adds applied practice with tension and rotating pulleys, providing the closest playlist analogue to the spool problem and its free-body-diagram/torque-equation workflow."
2026-07-13-M2-4,1,"Static Equilibrium - Tension, Torque, Lever, Beam, & Ladder Problem - Physics",https://www.youtube.com/watch?v=qGvFAl5CK_c,"The strongest compact match for the first two examples: it covers force and torque equilibrium, useful pivot choices, beams and levers, and a ladder involving friction."
2026-07-13-M2-4,2,Rotational Dynamics - Basic Introduction,https://www.youtube.com/watch?v=dbvr-L5rxdg,"Directly matches the massive-pulley portion through rotating pulleys and Atwood machines, connecting Newton’s laws for the masses with rotational dynamics for the pulley."
2026-07-14-M2-5,1,"Rotational Motion Physics, Basic Introduction, Angular Velocity & Tangential Acceleration",https://www.youtube.com/watch?v=WQ9AH2S8B6Y,"Builds the rolling-kinematics foundation: period, angular velocity and acceleration, and rotational–translational relationships underlying v = ωR and a = αR."
2026-07-14-M2-5,2,Rotational Kinetic Energy and Moment of Inertia Examples & Physics Problems,https://www.youtube.com/watch?v=REIP2mf6sIQ,The strongest match for the hollow-sphere ramp method: apply energy conservation to rolling objects on inclines while including rotational kinetic energy and moment of inertia.
2026-07-14-M2-5,3,"Angular Momentum - Basic Introduction, Torque, Inertia, Conservation of Angular Momentum",https://www.youtube.com/watch?v=WzjIMuf-yuo,"Provides the conceptual framework linking linear and angular momentum, external torque, rotational inertia, and angular-momentum conservation."
2026-07-14-M2-5,4,Angular Momentum Physics Practice Problems,https://www.youtube.com/watch?v=QghXDDJtJeQ,"Adds representative calculations with disks, rods, and a child joining a merry-go-round—the closest playlist analogue to added or sticking mass changing a rotating system’s inertia and angular speed."
2026-07-15-M3-1,1,Gravity and the Universal Law of Gravitation - Physics,https://www.youtube.com/watch?v=8CykJ3NgBQs,Establishes Newton’s universal gravitation law and connects gravitational force with weight and gravitational acceleration.
2026-07-15-M3-1,2,Gravitational Field Strength,https://www.youtube.com/watch?v=8AUljAd_AyE,"Best match for calculating g at Earth’s surface and at altitude, including the lecture’s crucial use of center-based distance r = R_E + h."
2026-07-15-M3-1,3,"Speed of a Satellite in Circular Orbit, Orbital Velocity, Period, Centripetal Force, Physics Problem",https://www.youtube.com/watch?v=QIaAleG0Eb4,Directly applies gravity as the inward net force to derive circular-orbit speed and calculate orbital period—the lecture’s main orbit-solving strategy.
2026-07-15-M3-1,4,"Kepler's Third Law of Planetary Motion Explained, Physics Problems, Period & Orbital Radius",https://www.youtube.com/watch?v=CCsbSq9wlyI,"Covers T² ∝ r³ and period–radius calculations, matching the derivation and ratio method used in the eight-year-planet example."
2026-07-16-M3-2,1,"Gravity, Universal Gravitation Constant - Gravitational Force Between Earth, Moon & Sun, Physics",https://www.youtube.com/watch?v=Ep1jIhHdf2A,"Reviews Newton’s inverse-square law and includes a multi-body net-force example, providing the best foundation for both the binary and three-mass calculations."
2026-07-16-M3-2,2,Center of Mass Physics Problems - Basic Introduction,https://www.youtube.com/watch?v=2uszSnvzBEU,"Supports locating the binary’s common center of mass, finding its unequal orbital radii, and recognizing the equilateral system’s center by symmetry."
2026-07-16-M3-2,3,Addition of Vectors By Means of Components - Physics,https://www.youtube.com/watch?v=xS-gdFgZel0,Covers the component method needed to show that tangential gravitational-force components cancel while inward radial components add.
2026-07-16-M3-2,4,"Speed of a Satellite in Circular Orbit, Orbital Velocity, Period, Centripetal Force, Physics Problem",https://www.youtube.com/watch?v=QIaAleG0Eb4,"Best match for the lecture’s central dynamical move: gravity supplies mv²/R, while v = 2πR/T connects orbital speed and period. It supports both the binary-period and three-body-speed derivations."
2026-07-16-M3-2,5,Mechanical Energy - Basic Overview,https://www.youtube.com/watch?v=VrLVUfB_t_U,Provides the distinct E = K + U framework used in the lecture’s final bound-system calculation without repeating the selected orbital-dynamics material.
2026-07-21-M4-1,1,"Simple Harmonic Motion, Mass Spring System - Amplitude, Frequency, Velocity - Physics Problems",https://www.youtube.com/watch?v=iubb3eFBQ9U,"The strongest single-video match and therefore the smallest nonredundant set. It combines mass–spring problems with restoring force, sinusoidal motion, amplitude, period, frequency, velocity, acceleration, and energy, covering nearly all of the lecture’s core theory and calculation strategies."
2026-07-22-M4-2,1,The Simple Pendulum,https://www.youtube.com/watch?v=1Q15fgz-lUk,"Directly covers pendulum SHM and calculations involving period, frequency, length, and gravity, matching the lecture’s simple-pendulum derivation and first example."
2026-07-22-M4-2,2,Center of Mass Physics Problems - Basic Introduction,https://www.youtube.com/watch?v=2uszSnvzBEU,Provides the weighted-position method needed to find ℓ for the lecture’s composite rod–point-mass and rod–disk pendulums.
2026-07-22-M4-2,3,Parallel Axis Theorem & Moment of Inertia - Physics Practice Problems,https://www.youtube.com/watch?v=JrkimXqnCLw,Covers the shifted-axis calculation essential for the rod pivoted at L/6 and for moving the attached disk’s inertia to the pendulum pivot.
2026-07-22-M4-2,4,Physical Pendulum Problems - Moment of Inertia - Physics,https://www.youtube.com/watch?v=scIVIhChL1I,"Serves as the synthesis: it applies physical-pendulum periods to a rod and an attached mass, closely matching the lecture’s central formula and representative rigid-body examples."
2026-07-23-M5-1,1,The Simple Pendulum,https://www.youtube.com/watch?v=1Q15fgz-lUk,"Reviews the lecture’s starting oscillator, including simple harmonic motion and calculations involving pendulum period, frequency, length, and gravitational acceleration."
2026-07-23-M5-1,2,"Simple Harmonic Motion, Mass Spring System - Amplitude, Frequency, Velocity - Physics Problems",https://www.youtube.com/watch?v=iubb3eFBQ9U,"Extends the oscillator model to mass–spring systems and covers restoring force, sinusoidal motion, period, frequency, velocity, and acceleration through representative problems."
2026-07-23-M5-1,3,Mechanical Waves Physics Practice Problems - Basic Introduction,https://www.youtube.com/watch?v=qm1hDJrIYwE,"Provides the broadest relevant wave practice: interpreting wave graphs and calculating speed, wavelength, frequency, string tension, and linear density, while also supporting the standing-wave preview."
2026-07-27-M5-2,1,"Wave Speed on a String - Tension Force, Intensity, Power, Amplitude, Frequency - Inverse Square Law",https://www.youtube.com/watch?v=vEzftaDL7fM,"Best anchor video: covers string tension and linear density, wave-speed/frequency/wavelength relationships, amplitude and power, and inverse-square intensity. It addresses the lecture’s largest mechanical-wave and intensity clusters without requiring separate overlapping videos."
2026-07-27-M5-2,2,Snell's Law & Index of Refraction Practice Problems - Physics,https://www.youtube.com/watch?v=ohQheheySDw,"Strongest optics match because it applies refractive index to light speed and wavelength in different materials, supporting the lecture’s medium comparisons and wavelength-in-glass calculations."
2026-07-27-M5-2,3,Sound Intensity Level in Decibels & Distance - Physics Problems,https://www.youtube.com/watch?v=twppI9Eizp8,Adds the distinct logarithmic skill missing from the first video: converting between intensity and decibels and determining how sound level changes with distance.
2026-07-28-M5-3,1,"Wave Speed on a String - Tension Force, Intensity, Power, Amplitude, Frequency - Inverse Square Law",https://www.youtube.com/watch?v=vEzftaDL7fM,"Connects power with amplitude and frequency, then covers intensity, distance, and inverse-square reasoning—the foundation for the lecture’s doubled-distance speaker example."
2026-07-28-M5-3,2,Sound Intensity Level in Decibels & Distance - Physics Problems,https://www.youtube.com/watch?v=twppI9Eizp8,"Directly covers calculating decibels from intensity, recovering intensity from decibels, and relating sound level to distance, matching the lecture’s logarithmic and ratio-based strategies."
2026-07-28-M5-3,3,How To Solve Doppler Effect Physics Problems,https://www.youtube.com/watch?v=WiTQxNaKAYA,"Covers moving sources versus moving observers, approaching versus receding motion, and numerical frequency-shift problems, matching the lecture’s equation-selection checklist and bat examples."
2026-07-29-M5-4,1,Mechanical Waves Physics Practice Problems - Basic Introduction,https://www.youtube.com/watch?v=qm1hDJrIYwE,"Best compact foundation: covers wave speed, wavelength, frequency, string tension and linear density, plus standing-wave harmonics, nodes, antinodes, and representative string calculations."
2026-07-29-M5-4,2,Beat Frequency Physics Problems,https://www.youtube.com/watch?v=M-OMq4QsPfY,"Directly covers the lecture’s beat-pattern application of superposition for nearby frequencies, with problem-solving examples not duplicated by the first video."
2026-07-29-M5-4,3,Standing Waves In Organ Pipes - Closed & Open Tubes - Physics Problems,https://www.youtube.com/watch?v=7eyYNNUojEc,"Applies standing-wave boundary conditions to open and closed pipes and calculates fundamental frequencies, harmonics, overtones, wavelengths, and pipe lengths."
2026-07-30-M5-5,1,Mechanical Waves Physics Practice Problems - Basic Introduction,https://www.youtube.com/watch?v=qm1hDJrIYwE,"Builds the needed foundation in wave graphs, wavelength, frequency, and wave speed, supporting v=fλ and the lecture’s wavefront interpretations."
2026-07-30-M5-5,2,Young's Double Slit Experiment,https://www.youtube.com/watch?v=xaAthgG0o8o,"The playlist’s strongest direct treatment of coherent two-source constructive/destructive interference, path geometry, and interference order; the principles transfer from light to the lecture’s sound and radio sources."
2026-08-05-M6-1,1,Young's Double Slit Experiment,https://www.youtube.com/watch?v=xaAthgG0o8o,"Best match for the lecture’s foundation: Young’s experiment, slit-and-screen geometry, constructive and destructive interference, and bright-fringe spacing."
2026-08-05-M6-1,2,Diffraction Grating Problems - Physics,https://www.youtube.com/watch?v=gf7j2fumz70,"Adds the distinct many-slit problem type and directly covers calculations involving fringe order, diffraction angle, wavelength, and grating line density."
2026-08-06-M6-2,1,Young's Double Slit Experiment,https://www.youtube.com/watch?v=xaAthgG0o8o,"Establishes the prerequisite interference picture, slit–screen geometry, bright-fringe spacing, and constructive versus destructive interference used throughout the lecture."
2026-08-06-M6-2,2,Diffraction Grating Problems - Physics,https://www.youtube.com/watch?v=gf7j2fumz70,"Directly covers the grating equation and calculations involving fringe order, diffraction angle, wavelength, and line density—the skills needed for the lecture’s lines-per-millimeter and allowable-order examples."
2026-08-06-M6-2,3,Single Slit Diffraction - Physics Problems,https://www.youtube.com/watch?v=9hCrhllI0ck,"Covers single-slit calculations using slit width, wavelength, and screen distance, including the angular and linear width of the central maximum; it reinforces the shift from locating bright grating fringes to analyzing single-slit minima."
