role,layer,course,topic-id,topic-number,topic-name,md-path,src-path
prerequisite,36,MF1,350,5.6.14,Compound AND Inequalities,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.6. Solving Linear Inequalities/Lessons/5.6.14. Compound AND Inequalities.md,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.6. Solving Linear Inequalities/Source/5.6.14. Compound AND Inequalities
prerequisite,39,MF3,209,5.1.4,Evaluating Expressions Containing Inverse Trigonometric Functions,vault/MA/Mathematical-Foundations/MF3/5. Trigonometry/5.1. The Inverse Trigonometric Functions/Lessons/5.1.4. Evaluating Expressions Containing Inverse Trigonometric Functions.md,vault/MA/Mathematical-Foundations/MF3/5. Trigonometry/5.1. The Inverse Trigonometric Functions/Source/5.1.4. Evaluating Expressions Containing Inverse Trigonometric Functions
prerequisite,40,MF3,3811,5.1.5,Limits of Inverse Trigonometric Functions,vault/MA/Mathematical-Foundations/MF3/5. Trigonometry/5.1. The Inverse Trigonometric Functions/Lessons/5.1.5. Limits of Inverse Trigonometric Functions.md,vault/MA/Mathematical-Foundations/MF3/5. Trigonometry/5.1. The Inverse Trigonometric Functions/Source/5.1.5. Limits of Inverse Trigonometric Functions
prerequisite,50,MF3,1359,8.2.6,Determining Intervals on Which a Function Is Increasing or Decreasing,vault/MA/Mathematical-Foundations/MF3/8. Differentiation/8.2. Analytical Applications of Differentiation/Lessons/8.2.6. Determining Intervals on Which a Function Is Increasing or Decreasing.md,vault/MA/Mathematical-Foundations/MF3/8. Differentiation/8.2. Analytical Applications of Differentiation/Source/8.2.6. Determining Intervals on Which a Function Is Increasing or Decreasing
prerequisite,50,MF3,1159,10.1.4,Calculating Definite Integrals Using Substitution,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Lessons/10.1.4. Calculating Definite Integrals Using Substitution.md,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Source/10.1.4. Calculating Definite Integrals Using Substitution
prerequisite,51,MF3,315,10.1.10,Integration by Substitution With Inverse Trigonometric Functions,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Lessons/10.1.10. Integration by Substitution With Inverse Trigonometric Functions.md,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.1. Integration Using Substitution/Source/10.1.10. Integration by Substitution With Inverse Trigonometric Functions
prerequisite,51,MF3,758,10.6.1,Improper Integrals,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.6. Improper Integrals/Lessons/10.6.1. Improper Integrals.md,vault/MA/Mathematical-Foundations/MF3/10. Integration Techniques/10.6. Improper Integrals/Source/10.6.1. Improper Integrals
prerequisite,57,CA2,1089,4.1.4,Limits of Sequences With Factorials,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.1. Sequences/Lessons/4.1.4. Limits of Sequences With Factorials.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.1. Sequences/Source/4.1.4. Limits of Sequences With Factorials
prerequisite,61,CA2,3539,4.1.6,Further Determining Limits of Sequences Using Relative Magnitudes,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.1. Sequences/Lessons/4.1.6. Further Determining Limits of Sequences Using Relative Magnitudes.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.1. Sequences/Source/4.1.6. Further Determining Limits of Sequences Using Relative Magnitudes
prerequisite,69,CA2,1161,1.1.9,Integrating Logarithmic Functions Using Substitution,vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.1. Integration Using Substitution/Lessons/1.1.9. Integrating Logarithmic Functions Using Substitution.md,vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.1. Integration Using Substitution/Source/1.1.9. Integrating Logarithmic Functions Using Substitution
prerequisite,70,CA2,4005,1.7.3,Improper Integrals Involving Arctangent,vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.7. Improper Integrals/Lessons/1.7.3. Improper Integrals Involving Arctangent.md,vault/MA/Single-Variable-Calculus/CA2/1. Integration Techniques/1.7. Improper Integrals/Source/1.7.3. Improper Integrals Involving Arctangent
