completed-at,date,time,activity-type,xp-earned,xp-possible,course,course-code,topic-id,topic-name,status
2026-08-08 16:26,2026-08-08,16:26,Lesson,10,8,Algebra II,AG2,1643,Solving Logarithmic Equations With Logarithms on Both Sides,Completed
2026-08-08 15:58,2026-08-08,15:58,Lesson,10,8,Calculus I,CA1,1377,Limits of Logarithmic Functions,Completed
2026-08-08 15:46,2026-08-08,15:46,Lesson,7,7,Algebra II,AG2,1610,Properties of Transformed Logarithmic Functions,Completed
2026-08-08 15:03,2026-08-08,15:03,Lesson,7,7,Calculus I,CA1,1263,Limits at Infinity of Polynomials,Completed
2026-08-08 14:39,2026-08-08,14:39,Lesson,9,7,Precalculus,PCL,209,Evaluating Expressions Containing Inverse Trigonometric Functions,Completed
2026-08-08 14:22,2026-08-08,14:22,Assessment,18,15,,,,Quiz 2,Completed
2026-08-08 14:09,2026-08-08,14:09,Lesson,9,7,Algebra II,AG2,1551,Solving Logarithmic Equations Containing the Natural Logarithm,Completed
2026-08-07 21:18,2026-08-07,21:18,Lesson,18,14,Calculus I,CA1,284,Calculating Velocity for Straight-Line Motion Using Differentiation,Completed
2026-08-06 13:25,2026-08-06,13:25,Lesson,9,7,Precalculus,PCL,1487,Graphing the Inverse Tangent Function,Completed
2026-08-06 13:03,2026-08-06,13:03,Lesson,24,19,Calculus I,CA1,1115,Selecting Procedures for Calculating Derivatives,Completed
2026-08-06 11:19,2026-08-06,11:19,Review,6,4,,,860,Harmonic Series and p-Series,Completed
2026-08-06 11:14,2026-08-06,11:14,Lesson,7,7,Precalculus,PCL,1486,Graphing the Inverse Cosine Function,Completed
2026-08-06 10:55,2026-08-06,10:55,Lesson,16,13,Algebra II,AG2,1707,Combining Graph Transformations of Logarithmic Functions,Completed
2026-08-05 15:39,2026-08-05,15:39,Lesson,12,15,Calculus I,CA1,305,The Chain Rule With Trigonometric Functions,Completed
2026-08-05 14:50,2026-08-05,14:50,Lesson,9,7,Algebra II,AG2,1583,Solving Exponential Equations With Different Bases,Completed
2026-08-05 14:41,2026-08-05,14:41,Lesson,22,22,Calculus I,CA1,1686,Differentiating Reciprocal Trigonometric Functions,Completed
2026-08-05 14:04,2026-08-05,14:04,Review,6,4,,,981,Infinite Series and Partial Sums,Completed
2026-08-05 13:58,2026-08-05,13:58,Assessment,13,13,,,,Quiz 1 (Retake),Completed
2026-08-05 13:47,2026-08-05,13:47,Lesson,9,7,,,860,Harmonic Series and p-Series,Completed
2026-08-05 13:40,2026-08-05,13:40,Review,6,4,,,981,Infinite Series and Partial Sums,Completed
2026-08-05 13:07,2026-08-05,13:07,Review,4,4,,,983,Properties of Infinite Series,Completed
2026-08-05 13:04,2026-08-05,13:04,Review,6,4,,,3215,Introduction to Differential Equations,Completed
2026-08-05 12:54,2026-08-05,12:54,Review,6,4,,,691,Finding the Sum of an Infinite Geometric Series,Completed
2026-08-05 12:35,2026-08-05,12:35,Review,0,4,,,860,Harmonic Series and p-Series,Completed
2026-08-05 12:26,2026-08-05,12:26,Lesson,12,14,,,1020,Sums of Infinite Geometric Series Given in Sigma Notation,Completed
2026-08-05 12:01,2026-08-05,12:01,Assessment,0,11,,,,Quiz 1,Completed
2026-08-05 11:48,2026-08-05,11:48,Lesson,9,7,Precalculus,PCL,1483,Graphing the Inverse Sine Function,Completed
2026-07-30 15:22,2026-07-30,15:22,Lesson,9,7,,,3215,Introduction to Differential Equations,Completed
2026-07-30 12:40,2026-07-30,12:40,Lesson,9,7,Algebra II,AG2,1532,Graphing Logarithmic Functions,Completed
2026-07-29 20:27,2026-07-29,20:27,Lesson,11,9,Calculus I,CA1,1036,The Chain Rule With Logarithmic Functions,Completed
2026-07-29 20:01,2026-07-29,20:01,Lesson,15,15,Calculus I,CA1,1110,The Quotient Rule for Differentiation,Completed
2026-07-29 19:15,2026-07-29,19:15,Lesson,9,7,Precalculus,PCL,1277,Calculating the Magnitude of Cartesian Vectors in 3D,Completed
2026-07-29 19:06,2026-07-29,19:06,Lesson,14,14,Calculus I,CA1,1109,The Product Rule for Differentiation,Completed
2026-07-29 18:26,2026-07-29,18:26,Lesson,15,12,Algebra II,AG2,1481,Modeling With Compound Interest,Completed
2026-07-29 17:46,2026-07-29,17:46,Lesson,9,7,,,860,Harmonic Series and p-Series,Completed
2026-07-29 16:14,2026-07-29,16:14,Lesson,16,13,Calculus I,CA1,281,Second and Higher-Order Derivatives,Completed
2026-07-29 15:41,2026-07-29,15:41,Lesson,9,7,,,4052,Further Properties of Infinite Series,Completed
2026-07-29 15:02,2026-07-29,15:02,Multistep,12,15,,,,"Limits of Trigonometric Functions, Instantaneous Rates of Change, and Infinite Geometric Series",Completed
2026-07-29 14:12,2026-07-29,14:12,Lesson,10,11,Calculus I,CA1,1116,Differentiating Logarithmic Functions,Completed
2026-07-29 13:37,2026-07-29,13:37,Lesson,9,7,,,983,Properties of Infinite Series,Completed
2026-07-29 13:26,2026-07-29,13:26,Lesson,31,25,Precalculus,PCL,923,Trigonometric Equations Containing Transformed Tangent Functions,Completed
2026-07-29 09:58,2026-07-29,09:58,Lesson,18,14,,,1020,Sums of Infinite Geometric Series Given in Sigma Notation,Completed
2026-07-29 09:40,2026-07-29,09:40,Lesson,9,7,,,982,Convergent and Divergent Infinite Series,Completed
2026-07-29 09:16,2026-07-29,09:16,Lesson,19,15,Calculus I,CA1,1007,The Chain Rule With Exponential Functions,Completed
2026-07-27 19:59,2026-07-27,19:59,Review,2,4,,,3861,Identifying Monotonic Sequences Using Ratios,Completed
2026-07-27 19:40,2026-07-27,19:40,Lesson,30,24,Precalculus,PCL,1259,General Solutions of Trigonometric Equations With Transformed Functions,Completed
2026-07-27 17:27,2026-07-27,17:27,Lesson,14,11,,,691,Finding the Sum of an Infinite Geometric Series,Completed
2026-07-24 23:46,2026-07-24,23:46,Lesson,15,19,Calculus I,CA1,987,Calculating the Equation of a Normal Line Using Differentiation,Completed
2026-07-24 21:52,2026-07-24,21:52,Lesson,7,7,,,686,Writing an Infinite Geometric Series in Sigma Notation,Completed
2026-07-24 21:24,2026-07-24,21:24,Lesson,9,7,Calculus I,CA1,43,The Constant Multiple Rule for Indefinite Integrals,Completed
2026-07-24 21:21,2026-07-24,21:21,Lesson,9,7,Precalculus,PCL,175,Addition and Scalar Multiplication of Cartesian Vectors in 3D,Completed
2026-07-24 21:11,2026-07-24,21:11,Lesson,23,18,,,981,Infinite Series and Partial Sums,Completed
2026-07-24 20:54,2026-07-24,20:54,Lesson,9,7,Calculus I,CA1,308,The Antiderivative,Completed
2026-07-24 20:31,2026-07-24,20:31,Lesson,9,7,Precalculus,PCL,1166,Three-Dimensional Vectors in Component Form,Completed
2026-07-24 20:20,2026-07-24,20:20,Lesson,19,15,Precalculus,PCL,690,Sums of Finite Geometric Series Given in Sigma Notation,Completed
2026-07-24 19:55,2026-07-24,19:55,Lesson,14,14,Precalculus,PCL,675,Finding the Sum of an Arithmetic Series,Completed
2026-07-23 23:56,2026-07-23,23:56,Lesson,11,9,Precalculus,PCL,1017,Writing Geometric Series in Sigma Notation,Completed
2026-07-23 23:40,2026-07-23,23:40,Lesson,14,14,Precalculus,PCL,274,The Sum and Difference Formulas for Cosine,Completed
2026-07-22 17:08,2026-07-22,17:08,Lesson,10,10,Precalculus,PCL,779,Expressing an Arithmetic Series in Sigma Notation,Completed
2026-07-22 16:50,2026-07-22,16:50,Lesson,9,7,Precalculus,PCL,468,Solving Quadratic Inequalities From Graphs,Completed
2026-07-22 16:43,2026-07-22,16:43,Lesson,25,25,Precalculus,PCL,807,Vertical Asymptotes of Rational Functions,Completed
2026-07-22 16:06,2026-07-22,16:06,Lesson,16,13,Precalculus,PCL,118,Solving Quadratic Inequalities Using the Sign Table Method,Completed
2026-07-22 15:41,2026-07-22,15:41,Lesson,10,8,Algebra II,AG2,870,Solving Equations Containing the Exponential Function,Completed
2026-07-22 15:32,2026-07-22,15:32,Lesson,16,13,Calculus I,CA1,296,Interpreting the Meaning of the Derivative in Context,Completed
2026-07-22 14:46,2026-07-22,14:46,Lesson,15,12,Algebra II,AG2,727,Solving Cubic Equations by Grouping,Completed
2026-07-22 14:00,2026-07-22,14:00,Lesson,0,14,Precalculus,PCL,274,The Sum and Difference Formulas for Cosine,Completed
2026-07-15 20:53,2026-07-15,20:53,Lesson,11,9,Algebra II,AG2,660,Factoring Higher-Order Polynomials as a Difference of Squares,Completed
2026-07-15 17:21,2026-07-15,17:21,Lesson,18,14,Precalculus,PCL,271,The Double-Angle Formula for Sine,Completed
2026-07-15 15:32,2026-07-15,15:32,Lesson,16,13,Algebra II,AG2,480,Solving Polynomial Equations Using the GCF,Completed
2026-07-15 14:33,2026-07-15,14:33,Lesson,10,8,Algebra II,AG2,436,Dividing Rational Expressions,Completed
2026-07-15 14:22,2026-07-15,14:22,Lesson,8,8,Algebra II,AG2,226,Solving Logarithmic Equations,Completed
2026-07-15 13:59,2026-07-15,13:59,Lesson,13,15,Precalculus,PCL,270,The Sum and Difference Formulas for Sine,Completed
2026-07-15 13:14,2026-07-15,13:14,Lesson,9,7,,,3861,Identifying Monotonic Sequences Using Ratios,Completed
2026-07-14 20:10,2026-07-14,20:10,Diagnostic,31,,,,,Calculus II: Placement Exam,Completed
2026-04-10 12:47,2026-04-10,12:47,Lesson,18,20,Mathematical Foundations II,MF2,410,Solving Systems of Nonlinear Equations,Completed
2026-04-10 09:21,2026-04-10,09:21,Review,6,4,Mathematical Foundations II,MF2,1609,Properties of Transformed Exponential Functions,Completed
2026-04-02 21:50,2026-04-02,21:50,Lesson,10,8,Mathematical Foundations II,MF2,464,Quadratic Equations with Purely Imaginary Solutions,Completed
2026-04-02 20:22,2026-04-02,20:22,Supplemental Diagnostic,4,,,,,Mathematical Foundations II: Supplemental Diagnostic Exam,Completed
2026-04-02 20:09,2026-04-02,20:09,Review,6,4,Mathematical Foundations II,MF2,141,Finding Points on Transformed Curves,Completed
2026-03-03 14:23,2026-03-03,14:23,Review,6,4,Mathematical Foundations II,MF2,268,Finding Trigonometric Ratios of Special Angles Using the Unit Circle,Completed
2026-01-09 00:35,2026-01-09,00:35,Diagnostic,0,,,,,Multivariable Calculus: Placement Exam,Completed
2025-11-04 13:24,2025-11-04,13:24,Review,6,4,Mathematical Foundations II,MF2,425,The Discriminant of a Quadratic Equation,Completed
2025-11-04 13:17,2025-11-04,13:17,Review,6,4,Mathematical Foundations II,MF2,1609,Properties of Transformed Exponential Functions,Completed
2025-11-04 10:09,2025-11-04,10:09,Assessment,9,15,,,,Quiz 3,Completed
2025-11-04 10:02,2025-11-04,10:02,Lesson,9,7,Mathematical Foundations II,MF2,2827,The Intersection of Sets,Completed
2025-11-04 09:58,2025-11-04,09:58,Lesson,9,7,Mathematical Foundations II,MF2,2826,The Union of Sets,Completed
2025-11-04 09:54,2025-11-04,09:54,Lesson,9,7,Mathematical Foundations II,MF2,1753,Volumes of Rectangular Solids,Completed
2025-11-04 09:26,2025-11-04,09:26,Lesson,9,7,Mathematical Foundations II,MF2,459,The Distance Formula,Completed
2025-07-29 13:36,2025-07-29,13:36,Lesson,11,11,Mathematical Foundations II,MF2,425,The Discriminant of a Quadratic Equation,Completed
2025-07-29 12:42,2025-07-29,12:42,Lesson,9,7,Mathematical Foundations II,MF2,793,Venn Diagrams in Probability,Completed
2025-07-29 12:28,2025-07-29,12:28,Supplemental Diagnostic,3,,,,,Mathematical Foundations II: Supplemental Diagnostic Exam,Completed
2025-07-29 12:18,2025-07-29,12:18,Review,6,4,Mathematical Foundations II,MF2,2148,Periodic Functions,Completed
2025-07-29 12:16,2025-07-29,12:16,Lesson,15,12,Mathematical Foundations I,MF1,361,Multiplying Polynomials,Completed
2025-07-11 10:17,2025-07-11,10:17,Review,4,4,Mathematical Foundations II,MF2,672,Determining Indexes of Terms in Arithmetic Sequences,Completed
2025-07-11 09:53,2025-07-11,09:53,Lesson,8,8,Mathematical Foundations II,MF2,268,Finding Trigonometric Ratios of Special Angles Using the Unit Circle,Completed
2025-07-07 12:49,2025-07-07,12:49,Review,6,4,Mathematical Foundations II,MF2,485,Midpoints in the Coordinate Plane,Completed
2025-07-07 12:42,2025-07-07,12:42,Multistep,13,10,,,,Quadratic Profit Functions,Completed
2025-07-07 12:05,2025-07-07,12:05,Lesson,11,9,Mathematical Foundations II,MF2,261,Coterminal Angles,Completed
2025-06-16 17:01,2025-06-16,17:01,Lesson,9,7,Mathematical Foundations II,MF2,176,Calculating the Magnitude of Cartesian Vectors in 2D,Completed
2025-06-16 16:53,2025-06-16,16:53,Review,6,4,Mathematical Foundations II,MF2,462,Determining Continuity from Graphs,Completed
2025-06-16 16:51,2025-06-16,16:51,Review,6,4,Mathematical Foundations II,MF2,161,The Rules of Sum and Product,Completed
2025-06-15 16:30,2025-06-15,16:30,Review,0,4,Mathematical Foundations II,MF2,1609,Properties of Transformed Exponential Functions,Completed
2025-06-15 16:26,2025-06-15,16:26,Assessment,14,12,,,,Quiz 2,Completed
2025-06-15 16:14,2025-06-15,16:14,Lesson,10,10,Mathematical Foundations II,MF2,1120,The Complement of an Event,Completed
2025-06-15 15:42,2025-06-15,15:42,Lesson,9,7,Mathematical Foundations I,MF1,355,Splitting Rational Expressions Into Separate Terms,Completed
2025-06-15 15:36,2025-06-15,15:36,Multistep,9,7,,,,Exploring Function Arithmetic Using Graphs,Completed
2025-06-14 19:00,2025-06-14,19:00,Lesson,6,7,Mathematical Foundations II,MF2,269,Finding Trigonometric Ratios of Quadrantal Angles,Completed
2025-06-14 18:51,2025-06-14,18:51,Lesson,9,7,Mathematical Foundations II,MF2,167,Negative Angles in the Coordinate Plane,Completed
2025-06-14 18:46,2025-06-14,18:46,Lesson,11,9,Mathematical Foundations I,MF1,347,Intersections of Intervals,Completed
2025-06-14 18:32,2025-06-14,18:32,Lesson,11,9,Mathematical Foundations II,MF2,244,Addition and Scalar Multiplication of Cartesian Vectors in 2D,Completed
2025-06-14 16:43,2025-06-14,16:43,Lesson,13,13,Mathematical Foundations II,MF2,141,Finding Points on Transformed Curves,Completed
2025-06-13 20:05,2025-06-13,20:05,Multistep,6,10,,,,Quadratic Profit Functions,Completed
2025-06-12 17:56,2025-06-12,17:56,Review,6,4,Mathematical Foundations II,MF2,84,Graphs of General Quadratic Functions,Completed
2025-06-12 17:49,2025-06-12,17:49,Review,6,4,Mathematical Foundations II,MF2,140,The Arithmetic of Functions,Completed
2025-06-12 17:45,2025-06-12,17:45,Review,6,4,Mathematical Foundations II,MF2,73,Fibonacci Sequences,Completed
2025-06-12 16:51,2025-06-12,16:51,Assessment,6,11,,,,Quiz 1 (Retake),Completed
2025-06-12 16:39,2025-06-12,16:39,Review,6,4,Mathematical Foundations II,MF2,37,The Power and Root Rules for Limits,Completed
2025-06-12 16:32,2025-06-12,16:32,Lesson,11,9,Mathematical Foundations II,MF2,131,Compound Events in Probability From Experimental Data,Completed
2025-06-12 16:17,2025-06-12,16:17,Assessment,2,12,,,,Quiz 1,Completed
2025-06-12 15:59,2025-06-12,15:59,Lesson,9,7,Mathematical Foundations II,MF2,32,The Cyclic Property of the Imaginary Unit,Completed
2025-06-12 15:52,2025-06-12,15:52,Review,4,4,Mathematical Foundations II,MF2,116,Solving Radical Equations,Completed
2025-06-12 15:42,2025-06-12,15:42,Review,6,4,Mathematical Foundations II,MF2,37,The Power and Root Rules for Limits,Completed
2025-06-11 19:04,2025-06-11,19:04,Multistep,2,7,,,,Exploring Function Arithmetic Using Graphs,Completed
2025-06-01 13:59,2025-06-01,13:59,Lesson,13,14,Mathematical Foundations II,MF2,37,The Power and Root Rules for Limits,Completed
2025-05-31 21:10,2025-05-31,21:10,Review,6,4,Mathematical Foundations II,MF2,73,Fibonacci Sequences,Completed
2025-05-31 17:57,2025-05-31,17:57,Review,6,4,Mathematical Foundations II,MF2,28,The Change of Base Formula for Logarithms,Completed
2025-05-31 17:04,2025-05-31,17:04,Review,6,4,Mathematical Foundations II,MF2,84,Graphs of General Quadratic Functions,Completed
2025-05-07 20:31,2025-05-07,20:31,Lesson,9,7,Mathematical Foundations II,MF2,116,Solving Radical Equations,Completed
2025-04-06 16:36,2025-04-06,16:36,Lesson,9,7,Mathematical Foundations II,MF2,14,Imaginary Numbers,Completed
2025-03-24 10:19,2025-03-24,10:19,Lesson,9,9,Mathematical Foundations II,MF2,28,The Change of Base Formula for Logarithms,Completed
2025-03-03 13:23,2025-03-03,13:23,Lesson,18,14,Mathematical Foundations II,MF2,336,The Average Rate of Change of a Function,Completed
2025-02-28 13:26,2025-02-28,13:26,Diagnostic,21,,,,,Mathematical Foundations III: Placement Exam,Completed
2025-02-27 13:27,2025-02-27,13:27,Lesson,9,7,Mathematical Foundations II,MF2,726,The Common Logarithm,Completed
2025-02-27 13:12,2025-02-27,13:12,Lesson,7,8,Mathematical Foundations II,MF2,140,The Arithmetic of Functions,Completed
2025-02-27 12:54,2025-02-27,12:54,Lesson,9,7,Mathematical Foundations II,MF2,437,Adding and Subtracting Rational Expressions,Completed
2025-02-27 11:13,2025-02-27,11:13,Diagnostic,44,,,,,Mathematical Foundations II: Placement Exam,Completed
