unit-id,unit-code,unit-name
459,CAB.8,Applications of Integration
769,CAB.9,Applications of Technology
1,CBC.1,Limits
629,CBC.2,Continuity
2,CBC.3,Introduction to Differentiation
3,CBC.4,Advanced Differentiation
4,CBC.5,Contextual Applications of Differentiation
5,CBC.6,Analytical Applications of Differentiation
6,CBC.7,Integration
630,CBC.8,Techniques of Integration
7,CBC.9,Differential Equations
8,CBC.10,Applications of Integration
9,CBC.11,Parametric Equations
620,CBC.12,Polar Equations
536,CBC.13,Particle Dynamics
10,CBC.14,Sequences & Series
631,CBC.15,Power Series
767,CBC.16,Applications of Technology
879,SMF.1,Preliminaries
846,SMF.2,Algebra - Linear Equations in One Variable
847,SMF.3,Algebra - Linear Equations in Two Variables
850,SMF.4,Algebra - Linear Inequalities
851,SMF.5,"Geometry - Points, Lines, & Angles"
884,SMF.6,Geometry - Polygons & Solids
885,SMF.7,Geometry - Congruence & Similarity
852,SMF.8,"Geometry - Length, Area & Volume"
854,SMF.9,Geometry - Circles
853,SMF.10,Trigonometry
871,SMF.11,Advanced Algebra - Functions
872,SMF.12,Advanced Algebra - Absolute Value
873,SMF.13,Advanced Algebra - Polynomials
875,SMF.14,Advanced Algebra - Exponential Equations & Functions
876,SMF.15,Advanced Algebra - Rational and Radical Equations
856,SMF.16,Problem Solving - Ratios & Percentages
857,SMF.17,Data Analysis - Statistics & Probability
709,MF1.1,Fractions
708,MF1.2,Ratios & Percentages
717,MF1.3,The Number System
718,MF1.4,Exponents & Radicals
720,MF1.5,Equations & Inequalities
723,MF1.6,Two-Variable Equations
728,MF1.7,Radical & Rational Expressions
724,MF1.8,Functions
725,MF1.9,Absolute Value
726,MF1.10,Exponential Functions
727,MF1.11,Polynomials
721,MF1.12,Geometry Fundamentals
759,MF1.13,Polygons
756,MF2.1,Quadratics
736,MF2.2,Polynomials
704,MF2.3,Number Systems
737,MF2.4,Functions
739,MF2.5,Exponentials & Logarithms
741,MF2.6,Radical & Rational Functions
738,MF2.7,Sequences
760,MF2.8,Geometry
734,MF2.9,Trigonometry
731,MF2.10,Vectors
706,MF2.11,Limits & Continuity
740,MF2.12,Introduction to Calculus
732,MF2.13,Statistics
729,MF2.14,Probability & Combinatorics
1055,MF3.1,Sequences and Series
1056,MF3.2,Inequalities
1057,MF3.3,Parametric & Polar Coordinates
1058,MF3.4,Conic Sections
1059,MF3.5,Trigonometry
1060,MF3.6,Complex Numbers
1061,MF3.7,Limits & Continuity
1062,MF3.8,Differentiation
1063,MF3.9,Definite Integrals
1064,MF3.10,Integration Techniques
1065,MF3.11,Contextual Applications of Calculus
1066,MF3.12,Differential Equations
1067,MF3.13,Vectors
1068,MF3.14,Linear Algebra
1069,MF3.15,Probability
678,CA1.1,Preliminaries
671,CA1.2,Limits
672,CA1.3,Continuity
673,CA1.4,Introduction to Differentiation
674,CA1.5,Advanced Differentiation
675,CA1.6,Contextual Applications of Differentiation
676,CA1.7,Analytical Applications of Differentiation
677,CA1.8,Integration
679,CA2.1,Integration Techniques
680,CA2.2,Applications of Integration
681,CA2.3,Parametric & Polar Equations
682,CA2.4,Sequences & Series
688,CA2.5,Differential Equations
63,MVC.1,Vector Functions and Vector Fields
65,MVC.2,Multivariable Functions
66,MVC.3,Multiple Integrals
67,MVC.4,Line Integrals
777,MVC.5,Surface Integrals
775,MVC.6,Applications of Multivariable Calculus
23,DEQ.1,First-Order Differential Equations
1234,DEQ.2,Modeling With First-Order Differential Equations
24,DEQ.3,Linear Differential Equations
27,DEQ.4,Systems of Differential Equations
25,DEQ.5,Laplace Transforms
349,DEQ.6,Boundary Value Problems
26,DEQ.7,Approximating Solutions to Differential Equations
467,PAS.1,Probability & Random Variables
468,PAS.2,Expectation
278,PAS.3,Discrete Probability Distributions
279,PAS.4,Continuous Probability Distributions
280,PAS.5,Combining Random Variables
282,PAS.6,Parametric Inference
824,PAS.7,Confidence Intervals
831,PAS.8,Hypothesis Testing
1036,PAS.9,Regression
281,PAS.10,Nonparametric Inference
684,LAL.1,Preliminaries
185,LAL.2,Matrices
188,LAL.3,Vector Spaces
186,LAL.4,Linear Transformations
353,LAL.5,Diagonalization of Matrices
189,LAL.6,Projections
301,LAL.7,Quadratic Forms
190,LAL.8,Applications of Linear Algebra
818,DSM.1,Preliminaries
695,DSM.2,Boolean Algebra
693,DSM.3,Number Theory
689,DSM.4,Probability & Combinatorics
690,DSM.5,Sequences
1092,DSM.6,Recursion
691,DSM.7,Graph Theory
696,DSM.8,The Theory of Algorithms
418,MOP.1,Logic
779,MOP.2,Set Theory
419,MOP.3,Mathematical Proof
686,MOP.4,Discrete Mathematics & Number Theory
781,MOP.5,Sequences & Functions
423,MOP.6,Congruence of Integers
823,MOP.7,Equivalence Relations
1187,MML.1,Set Theory
1188,MML.2,Logic
1174,MML.3,Vectors and Matrices
1175,MML.4,Vector Spaces
1176,MML.5,Diagonalization of Matrices
1177,MML.6,Orthogonality & Projections
1178,MML.7,Singular Value Decomposition
1179,MML.8,Applications of Linear Algebra
1180,MML.9,Multivariable Calculus
1181,MML.10,Probability & Random Variables
1182,MML.11,Combining Random Variables
1183,MML.12,Parametric Inference
226,6GM.1,Ratios & Proportional Relationships
1333,6GM.2,The Number System: Whole Number Division
351,6GM.3,The Number System: Dividing Fractions
1334,6GM.4,The Number System: Decimals
1335,6GM.5,The Number System: Rational Numbers
227,6GM.6,Expressions & Equations
228,6GM.7,Geometry
229,6GM.8,Statistics & Probability
1146,SMP.1,Algebra
1145,SMP.2,Advanced Math
1147,SMP.3,Geometry and Trigonometry
1231,SMP.4,Problem-Solving and Data Analysis
1291,PS1.1,Preliminaries
1265,PS1.2,Matrices
1266,PS1.3,Vector Spaces
1267,PS1.4,Linear Transformations
1268,PS1.5,Diagonalization of Matrices
1269,PS1.6,Multivariable Functions
1270,PS1.7,Vector Functions and Vector Fields
1271,PS1.8,Multiple Integrals
1272,PS1.9,Probability & Random Variables
1274,PS1.10,Continuous Probability Distributions
1275,PS1.11,First-Order Differential Equations
1276,PS1.12,Modeling With First-Order Differential Equations
1277,PS1.13,Linear Differential Equations
1278,PS2.1,Projections
1279,PS2.2,Quadratic Forms
1280,PS2.3,Applications of Linear Algebra
1281,PS2.4,Multiple Integrals
1282,PS2.5,Line Integrals
1283,PS2.6,Surface Integrals
1284,PS2.7,Applications of Multivariable Calculus
1285,PS2.8,Systems of Differential Equations
1286,PS2.9,Laplace Transforms
1287,PS2.10,Boundary Value Problems
1288,PS2.11,Approximating Solutions to Differential Equations
1289,PS2.12,Combining Random Variables
