module-id,module-code,module-name
121617,CBC.7.1,Indefinite Integrals
121618,CBC.7.2,Approximating Areas with Riemann Sums
121619,CBC.7.3,Definite Integrals
121620,CBC.7.4,The Area Under a Curve
121621,CBC.7.5,Accumulation Functions
121622,CBC.8.1,Integration Using Substitution
121623,CBC.8.2,Integration Using Trigonometric Identities
121624,CBC.8.3,Special Techniques for Integration
121625,CBC.8.4,Integration by Parts
121626,CBC.8.5,Integration Using Partial Fractions
121627,CBC.8.6,Improper Integrals
121628,CBC.9.1,Introduction to Differential Equations
121629,CBC.9.2,Qualitative Techniques for Differential Equations
121630,CBC.9.3,Modeling Exponential Growth and Decay With Differential Equations
121631,CBC.9.4,Modeling Logistic Growth With Differential Equations
121632,CBC.9.5,Slope Fields
121633,CBC.9.6,Numerical Solutions of Differential Equations
121634,CBC.10.1,Applications of Integration
121635,CBC.10.2,Volumes of Solids With Known Cross Sections
121636,CBC.10.3,Volumes of Revolution
121637,CBC.11.1,Parametric Equations
121638,CBC.11.2,Vector-Valued Functions
121639,CBC.12.1,Polar Coordinates
121640,CBC.13.1,"Displacement, Velocity, and Acceleration"
121641,CBC.13.2,"Connecting Position, Velocity and Acceleration Using Integrals"
121642,CBC.13.3,The Planar Motion of a Particle
121643,CBC.14.1,Sequences
121644,CBC.14.2,Monotonic Sequences
121645,CBC.14.3,Infinite Series
121646,CBC.14.4,Geometric Series
121647,CBC.14.5,Infinite Series Convergence Tests
121648,CBC.15.1,Taylor Polynomials
121649,CBC.15.2,Taylor Series
121650,CBC.16.1,Using Graphing Calculators
121687,CA1.1.1,The Hyperbolic Functions
121688,CA1.2.1,Estimating Limits from Graphs
121689,CA1.2.2,The Algebra of Limits
121690,CA1.2.3,Limits of Functions
121691,CA1.2.4,Determining Limits Using Algebraic Manipulation
121692,CA1.2.5,Special Limits
121693,CA1.3.1,Continuity
121694,CA1.3.2,Removing Discontinuities
121695,CA1.4.1,Introduction to Differentiation
121696,CA1.4.2,Derivatives of Functions and the Rules of Differentiation
121697,CA1.5.1,Differentiating Composite Functions
121698,CA1.5.2,Differentiating Implicit and Inverse Functions
121699,CA1.5.3,Differentiation Using Logarithms
121700,CA1.6.1,Contextual Applications of Differentiation
121701,CA1.6.2,Estimating Derivatives
121702,CA1.6.3,Related Rates of Change
121703,CA1.6.4,L'Hopital's Rule
121704,CA1.7.1,Analytical Applications of Differentiation
121705,CA1.7.2,Analysis of Curves
121706,CA1.7.3,Approximating Values of a Function
121707,CA1.7.4,Optimization
121708,CA1.7.5,"Displacement, Velocity, and Acceleration"
121709,CA1.8.1,Indefinite Integrals
121710,CA1.8.2,Approximating Areas with Riemann Sums
121711,CA1.8.3,Definite Integrals
121712,CA1.8.4,The Area Under a Curve
121713,CA1.8.5,Accumulation Functions
114167,CA2.1.1,Integration Using Substitution
114168,CA2.1.2,Special Techniques for Integration
114169,CA2.1.3,Integration Using Trigonometric Identities
114170,CA2.1.4,Integration Using Hyperbolic Identities
114171,CA2.1.5,Integration by Parts
114172,CA2.1.6,Integration Using Partial Fractions
114173,CA2.1.7,Improper Integrals
114174,CA2.2.1,Applications of Integration
114175,CA2.2.2,Volumes of Solids With Known Cross Sections
114176,CA2.2.3,Volumes of Revolution
114177,CA2.2.4,Surface Areas of Revolution
114178,CA2.2.5,"Connecting Position, Velocity and Acceleration Using Integrals"
114179,CA2.3.1,Parametric Equations
114180,CA2.3.2,Vector-Valued Functions
114181,CA2.3.3,The Planar Motion of a Particle
114182,CA2.3.4,Polar Coordinates
114183,CA2.4.1,Sequences
114184,CA2.4.2,Monotonic Sequences
114185,CA2.4.3,Infinite Series
114186,CA2.4.4,Geometric Series
114187,CA2.4.5,Infinite Series Convergence Tests
114188,CA2.4.6,Taylor Polynomials
114189,CA2.4.7,Taylor Series
114190,CA2.5.1,Introduction to Differential Equations
114191,CA2.5.2,Qualitative Techniques for Differential Equations
114192,CA2.5.3,Modeling Exponential Growth and Decay With Differential Equations
114193,CA2.5.4,Modeling Logistic Growth With Differential Equations
114194,CA2.5.5,Slope Fields
114195,CA2.5.6,Numerical Solutions of Differential Equations
