edge_id,relationship,source_prerequisite_id,source_lesson_node_id,source_lesson_id,source_lesson_title,source_module,source_assignment_date,source_path,prerequisite_text,target_lesson_node_id,target_lesson_id,target_lesson_title,target_module,target_assignment_date,target_path,temporal_relation,is_primary_match,confidence,match_basis,evidence,candidate_rank,candidate_score,propagated_from_exact_text,review_status,cycle_flag,cycle_component_id,cycle_member_count
P212-E0011,REQUIRES,P212-0027,212-M1-038,212-M1-038,Deciding Where Distance Belongs in a Speed Formula,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-2.md,Speed relates distance and time by $v=\dfrac{\text{distance}}{\text{time}}$.,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,same-date,true,High,worked_move_equivalent,The lesson computes bullet speed by dividing travel distance by travel time.,3,0.2629,false,semantically-reviewed,true,CYCLE-002,2
P212-E0012,REQUIRES,P212-0031,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,Speed is distance divided by time: $v=\dfrac{\text{distance}}{\text{time}}$.,212-M1-038,212-M1-038,Deciding Where Distance Belongs in a Speed Formula,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-2.md,same-date,true,High,worked_move_equivalent,The lesson uses fixed-time examples to teach that speed is distance divided by time.,8,0.2066,false,semantically-reviewed,true,CYCLE-002,2
P212-E0013,REQUIRES,P212-0032,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,One full revolution is $2\pi$ radians.,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,earlier,true,High,worked_move_equivalent,The lesson explicitly teaches one complete revolution as two pi radians.,1,0.4322,false,semantically-reviewed,false,,
P212-E0014,REQUIRES,P212-0033,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,Period $T$ is the time for one full revolution.,212-M1-044,212-M1-044,Finding the Time for One Revolution While Speeding Up,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-2.md,later,true,High,concept_equivalent,The lesson treats the period as the elapsed time for one revolution while solving a rotation problem.,1,0.3918,false,semantically-reviewed,false,,
P212-E0015,REQUIRES,P212-0034,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,Angular speed is angle divided by time.,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,earlier,true,High,concept_equivalent,The lesson defines angular frequency as angle swept per unit time.,,,false,semantically-reviewed,false,,
P212-E0016,REQUIRES,P212-0036,212-M1-040,212-M1-040,Placing Angular Separation in a Speed Formula,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-4.md,Know that a period $T$ is the time for one full rotation.,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,same-date,true,High,concept_equivalent,The lesson explicitly distinguishes the period as the time for one full revolution.,1,0.35,false,semantically-reviewed,false,,
P212-E0017,REQUIRES,P212-0037,212-M1-040,212-M1-040,Placing Angular Separation in a Speed Formula,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-4.md,Know that speed is distance divided by time: $v=\dfrac{\text{distance}}{\text{time}}$.,212-M1-038,212-M1-038,Deciding Where Distance Belongs in a Speed Formula,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-2.md,same-date,true,High,worked_move_equivalent,The lesson directly practices placing distance over time in a speed calculation.,,,false,semantically-reviewed,false,,
P212-E0018,REQUIRES,P212-0038,212-M1-041,212-M1-041,Bullet Speed from Rotating Disk Alignment,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-5.md,Constant speed means $v=\dfrac{\text{distance}}{\text{time}}$.,212-M1-038,212-M1-038,Deciding Where Distance Belongs in a Speed Formula,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-2.md,same-date,true,High,worked_move_equivalent,The lesson compares distances covered in a fixed time using speed equals distance over time.,,,false,semantically-reviewed,false,,
P212-E0019,REQUIRES,P212-0039,212-M1-041,212-M1-041,Bullet Speed from Rotating Disk Alignment,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-5.md,One full rotation is $2\pi$ radians.,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,earlier,true,High,worked_move_equivalent,The lesson explicitly teaches that a complete rotation is two pi radians.,1,0.2703,false,semantically-reviewed,false,,
P212-E0020,REQUIRES,P212-0040,212-M1-041,212-M1-041,Bullet Speed from Rotating Disk Alignment,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-5.md,A period $T$ is the time for one full rotation.,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,same-date,true,High,concept_equivalent,The lesson identifies the period as the time required for one full revolution.,1,0.3539,false,semantically-reviewed,false,,
P212-E0021,REQUIRES,P212-0041,212-M1-003,212-M1-003,Ranking Radial Accelerations,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-6.md,Recognize speed $v$ and radius $r$ in a circular-motion diagram.,212-M1-064,212-M1-064,Comparing Centripetal Acceleration At Fixed Speed,M1,2026-07-05,/Users/jake/Developer/study/vault/212/M1/2026-07-05-PQ-1/Lessons/Problem-1.md,later,true,Medium,worked_move_equivalent,The lesson repeatedly reads speed and circular-path radius from diagrams before comparing v squared over r.,1,0.4081,false,semantically-reviewed,false,,
P212-E0022,REQUIRES,P212-0047,212-M1-043,212-M1-043,Converting Revolutions per Minute to Radians per Second,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-1.md,$1$ revolution equals $2\pi$ radians,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,earlier,true,High,worked_move_equivalent,The lesson teaches the exact revolution-to-radian conversion in examples and practice.,1,0.4328,false,semantically-reviewed,true,CYCLE-001,4
P212-E0023,REQUIRES,P212-0055,212-M1-045,212-M1-045,Finding the Units of a Coefficient in Angular Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-3.md,"SI units for angular position, angular velocity, and angular acceleration",212-M1-047,212-M1-047,Finding Angular Position From Angular Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-5.md,same-date,true,Medium,worked_move_equivalent,The lesson carries angular position velocity and acceleration through two integrations with their SI angular units.,1,0.4336,false,semantically-reviewed,false,,
P212-E0024,REQUIRES,P212-0058,212-M1-046,212-M1-046,Finding Angular Velocity From Angular Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-4.md,Angular acceleration is the time derivative of angular velocity: $\alpha_z(t)=\dfrac{\mathrm{d}\omega_z}{\mathrm{d}t}$,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,earlier,true,High,concept_equivalent,The lesson defines alpha as the time rate of change of omega and applies that relation numerically.,5,0.3624,false,semantically-reviewed,false,,
P212-E0025,REQUIRES,P212-0062,212-M1-047,212-M1-047,Finding Angular Position From Angular Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-5.md,The relationships $\alpha_z(t)=\dfrac{d\omega_z}{dt}$ and $\omega_z(t)=\dfrac{d\theta_z}{dt}$,212-M1-037,212-M1-037,Find Angular Speed From Angular Position,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-1.md,earlier,false,High,compound_split,This half of the compound dependency teaches omega as d-theta by dt through differentiation.,3,0.3244,false,semantically-reviewed,false,,
P212-E0026,REQUIRES,P212-0062,212-M1-047,212-M1-047,Finding Angular Position From Angular Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-5.md,The relationships $\alpha_z(t)=\dfrac{d\omega_z}{dt}$ and $\omega_z(t)=\dfrac{d\theta_z}{dt}$,212-M1-046,212-M1-046,Finding Angular Velocity From Angular Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-4.md,same-date,true,High,compound_split,This half of the compound dependency teaches alpha as d-omega by dt and reverses it by integration.,1,0.4204,false,semantically-reviewed,false,,
P212-E0027,REQUIRES,P212-0064,212-M1-047,212-M1-047,Finding Angular Position From Angular Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-5.md,How an initial condition determines an integration constant,212-M1-046,212-M1-046,Finding Angular Velocity From Angular Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-4.md,same-date,true,High,worked_move_equivalent,The lesson substitutes an initial angular velocity to determine the integration constant.,1,0.4184,false,semantically-reviewed,false,,
P212-E0028,REQUIRES,P212-0065,212-M1-006,212-M1-006,Recognizing Tangential Velocity in Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-6.md,A radius vector $\vec r$ points from the center of a circle to the object,212-M1-048,212-M1-048,Identifying Velocity Direction in Non-Uniform Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-10.md,same-date,true,High,concept_equivalent,The lesson explicitly defines the radius vector as pointing from the circle center to the object.,,,false,semantically-reviewed,true,CYCLE-003,3
P212-E0029,REQUIRES,P212-0068,212-M1-006,212-M1-006,Recognizing Tangential Velocity in Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-6.md,A tangent to a circle is perpendicular to the radius at the point of contact,212-M1-048,212-M1-048,Identifying Velocity Direction in Non-Uniform Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-10.md,same-date,true,High,concept_equivalent,The lesson explicitly teaches that the tangent direction is perpendicular to the radius at the contact point.,7,0.1647,false,semantically-reviewed,true,CYCLE-003,3
P212-E0030,REQUIRES,P212-0072,212-M1-007,212-M1-007,Comparing Centripetal Acceleration with the Radius Vector,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-7.md,"In uniform circular motion, the position vector $\vec r$ is measured from the circle's center to the object",212-M1-048,212-M1-048,Identifying Velocity Direction in Non-Uniform Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-10.md,same-date,true,High,concept_equivalent,The lesson defines r from the center to the object and practices reading that direction in diagrams.,2,0.2923,false,semantically-reviewed,false,,
P212-E0031,REQUIRES,P212-0074,212-M1-001,212-M1-001,Relating Tangential Speed to Angular Speed,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-8.md,Angular speed $\omega$ measures angle swept per unit time,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,earlier,true,High,concept_equivalent,The lesson defines angular rate as angle swept divided by elapsed time.,8,0.2658,false,semantically-reviewed,false,,
P212-E0032,REQUIRES,P212-0077,212-M1-004,212-M1-004,Checking the Magnitude of Centripetal Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-9.md,"In uniform circular motion, the object moves at constant speed around a circle",212-M1-005,212-M1-005,Recognizing Uniform Circular Motion,M1,2026-07-03,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-1.md,later,true,High,title_exact,The lesson teaches uniform circular motion as a circular path traversed at constant speed.,2,0.3583,false,semantically-reviewed,false,,
P212-E0033,REQUIRES,P212-0078,212-M1-004,212-M1-004,Checking the Magnitude of Centripetal Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-9.md,Velocity is tangent to the circle,212-M1-006,212-M1-006,Recognizing Tangential Velocity in Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-6.md,same-date,true,High,concept_equivalent,The lesson's core rule is that instantaneous velocity points tangent to the circle.,1,0.4053,false,semantically-reviewed,false,,
P212-E0034,REQUIRES,P212-0079,212-M1-004,212-M1-004,Checking the Magnitude of Centripetal Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-9.md,Acceleration points toward the center of the circle,212-M1-007,212-M1-007,Comparing Centripetal Acceleration with the Radius Vector,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-7.md,same-date,true,High,concept_equivalent,The lesson shows that circular-motion acceleration points opposite the outward radius and therefore inward.,6,0.2557,false,semantically-reviewed,false,,
P212-E0035,REQUIRES,P212-0081,212-M1-004,212-M1-004,Checking the Magnitude of Centripetal Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-9.md,Linear speed and angular speed are related by $v=\omega r$,212-M1-001,212-M1-001,Relating Tangential Speed to Angular Speed,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-8.md,same-date,true,High,worked_move_equivalent,The lesson derives and practices the exact relation speed equals radius times angular speed.,2,0.3684,false,semantically-reviewed,false,,
P212-E0036,REQUIRES,P212-0083,212-M1-048,212-M1-048,Identifying Velocity Direction in Non-Uniform Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-10.md,Velocity $\vec v$ points in the instantaneous direction of motion,212-M1-006,212-M1-006,Recognizing Tangential Velocity in Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-6.md,same-date,true,High,concept_equivalent,The lesson identifies velocity with the object's instantaneous tangent direction.,2,0.3104,false,semantically-reviewed,true,CYCLE-003,3
P212-E0037,REQUIRES,P212-0084,212-M1-048,212-M1-048,Identifying Velocity Direction in Non-Uniform Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-10.md,A tangent line to a circle is perpendicular to the radius at the point of contact,212-M1-006,212-M1-006,Recognizing Tangential Velocity in Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-6.md,same-date,true,High,concept_equivalent,The lesson explicitly teaches tangent perpendicular to radius using diagram examples.,1,0.3072,false,semantically-reviewed,true,CYCLE-003,3
P212-E0038,REQUIRES,P212-0085,212-M1-048,212-M1-048,Identifying Velocity Direction in Non-Uniform Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-10.md,Non-uniform circular motion means the speed or angular speed can change,212-M1-050,212-M1-050,Checking Speed From Angular Speed in Non-Uniform Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-12.md,same-date,true,High,concept_equivalent,The lesson explains that non-uniform circular motion permits the instantaneous angular speed and speed to change.,1,0.5646,false,semantically-reviewed,true,CYCLE-003,3
P212-E0039,REQUIRES,P212-0087,212-M1-049,212-M1-049,Testing Whether Circular-Motion Acceleration Is Perpendicular to the Radius,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-11.md,Velocity in circular motion is tangent to the circle,212-M1-006,212-M1-006,Recognizing Tangential Velocity in Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-6.md,same-date,true,High,concept_equivalent,The lesson directly teaches and quizzes the tangent direction of circular velocity.,1,0.5175,false,semantically-reviewed,false,,
P212-E0040,REQUIRES,P212-0091,212-M1-050,212-M1-050,Checking Speed From Angular Speed in Non-Uniform Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-12.md,The velocity vector $\vec v$ is tangent to the circular path,212-M1-006,212-M1-006,Recognizing Tangential Velocity in Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-6.md,same-date,true,High,concept_equivalent,The lesson's central geometric rule is that velocity is tangent to the circular path.,1,0.4413,false,semantically-reviewed,true,CYCLE-003,3
P212-E0041,REQUIRES,P212-0092,212-M1-050,212-M1-050,Checking Speed From Angular Speed in Non-Uniform Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-12.md,The magnitude $|\vec v|$ is the object's speed,212-M1-001,212-M1-001,Relating Tangential Speed to Angular Speed,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-8.md,same-date,true,High,concept_equivalent,The lesson explicitly identifies the magnitude of the velocity vector as ordinary speed.,2,0.2446,false,semantically-reviewed,false,,
P212-E0042,REQUIRES,P212-0093,212-M1-050,212-M1-050,Checking Speed From Angular Speed in Non-Uniform Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-12.md,Angular speed $\omega$ measures angle swept per unit time,212-M1-001,212-M1-001,Relating Tangential Speed to Angular Speed,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-8.md,same-date,true,High,concept_equivalent,The lesson defines angular speed as angle swept per unit time while deriving v equals r omega.,1,0.5018,false,semantically-reviewed,false,,
P212-E0043,REQUIRES,P212-0094,212-M1-050,212-M1-050,Checking Speed From Angular Speed in Non-Uniform Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-12.md,"For angles measured in radians, arc length satisfies $s=r\theta$",212-M1-001,212-M1-001,Relating Tangential Speed to Angular Speed,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-8.md,same-date,true,High,worked_move_equivalent,The lesson derives tangential speed from the radian arc-length relation s equals r theta.,1,0.3345,false,semantically-reviewed,false,,
P212-E0044,REQUIRES,P212-0096,212-M1-008,212-M1-008,Choosing the Acceleration Direction When Circular Motion Speeds Up,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-13.md,Velocity in circular motion is tangent to the circle.,212-M1-006,212-M1-006,Recognizing Tangential Velocity in Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-6.md,same-date,true,High,concept_equivalent,The lesson teaches circular velocity as tangent to the path with repeated direction practice.,1,0.5175,false,semantically-reviewed,false,,
P212-E0045,REQUIRES,P212-0097,212-M1-008,212-M1-008,Choosing the Acceleration Direction When Circular Motion Speeds Up,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-13.md,Centripetal acceleration points toward the center of the circle.,212-M1-007,212-M1-007,Comparing Centripetal Acceleration with the Radius Vector,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-7.md,same-date,true,High,concept_equivalent,The lesson teaches that acceleration is opposite the outward radius vector and hence points toward the center.,3,0.3338,false,semantically-reviewed,false,,
