corpus_row_id,module,source_lesson_node_id,source_lesson_id,source_lesson_title,source_assignment_date,source_path,prerequisite_text,normalized_text,prerequisite_type,physics_topics,math_subtypes,prerequisite_depth,atomicity,mapping_status,direct_match_count,primary_target_node_id,primary_target_lesson_id,primary_target_lesson_title,primary_target_module,primary_target_assignment_date,primary_target_path,temporal_relation,match_confidence,match_basis,match_evidence,candidate_rank,candidate_score,top_unaccepted_candidate_title,top_unaccepted_candidate_path,top_unaccepted_candidate_score,review_scope,cycle_flag,future_review_flag
P212-0011,M1,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,Know how to multiply by a unit conversion factor.,know how to multiply by a unit conversion factor,Measurement and computation,,Numeracy and arithmetic | Algebra and formula manipulation,D2,Atomic,direct-match,1,212-M1-043,212-M1-043,Converting Revolutions per Minute to Radians per Second,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-1.md,later,High,worked_move_equivalent,The lesson teaches arranging unit-conversion factors so the old units cancel.,1,0.2929,,,,semantically-reviewed,true,true
P212-0012,M1,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,Know how to round a number to a given number of significant figures.,know how to round a number to a given number of significant figures,Measurement and computation,,,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding Radial Acceleration From Inward Forces,/Users/jake/Developer/study/vault/212/M1/2026-07-02-M1-5/Lessons/Problem-3.md,0.1927,algorithmic-screen-only,false,true
P212-0013,M1,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,"Interpret ""comes to a stop"" as a final angular velocity of $0$.","interpret ""comes to a stop"" as a final angular velocity of 0",Semantic and physical interpretation,Circular and rotational motion,,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Tangential Speed From Angular Velocity,/Users/jake/Developer/study/vault/212/M1/2026-06-29-M1-3/Lessons/Problem-2.md,0.2163,algorithmic-screen-only,false,true
P212-0014,M1,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,Subtract final value minus initial value to find a change.,subtract final value minus initial value to find a change,Mathematical technique,,Numeracy and arithmetic,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Mechanical-Energy Change During a Sticking Collision,/Users/jake/Developer/study/vault/212/M4/2026-07-23-HW-6/Lessons/Problem-9.md,0.2014,algorithmic-screen-only,false,true
P212-0015,M1,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,Divide a change by elapsed time to find a constant rate.,divide a change by elapsed time to find a constant rate,Mathematical technique,,Numeracy and arithmetic,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding the Time for One Revolution While Speeding Up,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-2.md,0.1889,algorithmic-screen-only,false,true
P212-0016,M1,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,Use radians per second as angular velocity units.,use radians per second as angular velocity units,"Physics concept, law, or relation",Circular and rotational motion,,D2,Atomic,direct-match,1,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,same-date,High,worked_move_equivalent,The lesson converts rotation rates to radians per second and checks the resulting units.,1,0.4438,,,,semantically-reviewed,true,true
P212-0017,M1,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,Know that a magnitude is nonnegative.,know that a magnitude is nonnegative,Semantic and physical interpretation,,,D1,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding When Angular Velocity Reverses Direction,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-1.md,0.2422,algorithmic-screen-only,false,true
P212-0018,M1,212-M1-035,212-M1-035,Finding Angular Acceleration Direction While Stopping,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-3.md,Clockwise and counterclockwise rotation as seen on the page,clockwise and counterclockwise rotation as seen on the page,"Physics concept, law, or relation",Circular and rotational motion,,D1,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding the Direction of a Torque Vector,/Users/jake/Developer/study/vault/212/M2/2026-07-09-M2-3/Lessons/Problem-4.md,0.2995,algorithmic-screen-only,false,true
P212-0019,M1,212-M1-035,212-M1-035,Finding Angular Acceleration Direction While Stopping,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-3.md,The right-hand rule for angular velocity direction,the right-hand rule for angular velocity direction,"Physics concept, law, or relation",Circular and rotational motion,Vector mathematics,D3,Atomic,no-direct-match-after-review,0,,,,,,,,,,,,,Finding When Angular Velocity Reverses Direction,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-1.md,0.3219,candidate-set-semantically-reviewed,false,true
P212-0020,M1,212-M1-035,212-M1-035,Finding Angular Acceleration Direction While Stopping,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-3.md,Angular acceleration as the rate of change of angular velocity,angular acceleration as the rate of change of angular velocity,"Physics concept, law, or relation",Circular and rotational motion,,D1,Atomic,direct-match,1,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,same-date,High,concept_equivalent,The lesson directly defines angular acceleration as change in angular velocity per elapsed time.,4,0.3633,,,,semantically-reviewed,false,false
P212-0021,M1,212-M1-036,212-M1-036,Revolutions While A Disk Stops,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-4.md,Know that angular velocity is measured in radians per second.,know that angular velocity is measured in radians per second,"Physics concept, law, or relation",Circular and rotational motion,,D1,Atomic,direct-match,1,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,same-date,High,concept_equivalent,The lesson identifies radians per second as the requested angular-rate unit and practices converting to it.,1,0.4153,,,,semantically-reviewed,true,true
P212-0022,M1,212-M1-036,212-M1-036,Revolutions While A Disk Stops,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-4.md,Know that constant angular acceleration makes angular velocity change at a constant rate.,know that constant angular acceleration makes angular velocity change at a constant rate,"Physics concept, law, or relation",Circular and rotational motion,,D1,Atomic,direct-match,1,212-M1-034,212-M1-034,Magnitude of Constant Angular Acceleration,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,same-date,High,concept_equivalent,The lesson states that constant angular acceleration changes angular velocity by the same amount each second.,2,0.4224,,,,semantically-reviewed,true,true
P212-0023,M1,212-M1-036,212-M1-036,Revolutions While A Disk Stops,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-4.md,Know that one full revolution is $2\pi$ radians.,know that one full revolution is 2\pi radians,Model condition or reference choice,,,D1,Atomic,direct-match,1,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,same-date,High,worked_move_equivalent,The lesson explicitly teaches and applies the two-pi-radians-per-revolution conversion.,1,0.4163,,,,semantically-reviewed,true,true
P212-0024,M1,212-M1-037,212-M1-037,Find Angular Speed From Angular Position,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-1.md,Use the power rule: $\dfrac{d}{dt}(Ct^n)=nCt^{n-1}$.,use the power rule: ddt(ct^n)=nct^n-1,Mathematical technique,,Calculus,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding the Units of a Coefficient in Angular Acceleration,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-3.md,0.1059,algorithmic-screen-only,false,true
P212-0025,M1,212-M1-037,212-M1-037,Find Angular Speed From Angular Position,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-1.md,Substitute a given time into an expression.,substitute a given time into an expression,Mathematical technique,,Algebra and formula manipulation,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Bullet Speed from Rotating Disk Alignment,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-5.md,0.2219,algorithmic-screen-only,false,true
P212-0026,M1,212-M1-037,212-M1-037,Find Angular Speed From Angular Position,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-1.md,Recognize that angular speed is the magnitude of angular velocity.,recognize that angular speed is the magnitude of angular velocity,"Physics concept, law, or relation",Kinematics | Circular and rotational motion,,D1,Atomic,no-direct-match-after-review,0,,,,,,,,,,,,,Checking the Magnitude of Centripetal Acceleration,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-9.md,0.4315,candidate-set-semantically-reviewed,false,true
P212-0027,M1,212-M1-038,212-M1-038,Deciding Where Distance Belongs in a Speed Formula,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-2.md,Speed relates distance and time by $v=\dfrac{\text{distance}}{\text{time}}$.,speed relates distance and time by v=distancetime,"Physics concept, law, or relation",Kinematics,,D2,Atomic,direct-match,1,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,same-date,High,worked_move_equivalent,The lesson computes bullet speed by dividing travel distance by travel time.,3,0.2629,,,,semantically-reviewed,true,true
P212-0028,M1,212-M1-038,212-M1-038,Deciding Where Distance Belongs in a Speed Formula,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-2.md,A factor in the numerator makes the target quantity increase when that factor increases.,a factor in the numerator makes the target quantity increase when that factor increases,Mathematical technique,,Algebra and formula manipulation,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Scaling Surface Gravity With Mass and Radius,/Users/jake/Developer/study/vault/212/M3/2026-07-17-HW-5/Lessons/Problem-4.md,0.1478,algorithmic-screen-only,false,true
P212-0029,M1,212-M1-038,212-M1-038,Deciding Where Distance Belongs in a Speed Formula,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-2.md,A factor in the denominator makes the target quantity decrease when that factor increases.,a factor in the denominator makes the target quantity decrease when that factor increases,Mathematical technique,,Algebra and formula manipulation,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Scaling Force With an Inverse-Square Law,/Users/jake/Developer/study/vault/212/M3/2026-07-15-M3-1/Lessons/Problem-1.md,0.2056,algorithmic-screen-only,false,true
P212-0030,M1,212-M1-038,212-M1-038,Deciding Where Distance Belongs in a Speed Formula,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-2.md,"To test one variable, hold the other givens fixed.","to test one variable, hold the other givens fixed",Mathematical technique,,Algebra and formula manipulation,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Variable-Density Rod: Center of Mass,/Users/jake/Developer/study/vault/212/M3/2026-07-20-Q-2/Lessons/Examples/M2-2-01-Variable-Density-Rod-Center-of-Mass.md,0.1961,algorithmic-screen-only,false,true
P212-0031,M1,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,Speed is distance divided by time: $v=\dfrac{\text{distance}}{\text{time}}$.,speed is distance divided by time: v=distancetime,"Physics concept, law, or relation",Kinematics,,D2,Atomic,direct-match,1,212-M1-038,212-M1-038,Deciding Where Distance Belongs in a Speed Formula,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-2.md,same-date,High,worked_move_equivalent,The lesson uses fixed-time examples to teach that speed is distance divided by time.,8,0.2066,,,,semantically-reviewed,true,true
P212-0032,M1,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,One full revolution is $2\pi$ radians.,one full revolution is 2\pi radians,Model condition or reference choice,,,D1,Atomic,direct-match,1,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,earlier,High,worked_move_equivalent,The lesson explicitly teaches one complete revolution as two pi radians.,1,0.4322,,,,semantically-reviewed,false,false
P212-0033,M1,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,Period $T$ is the time for one full revolution.,period t is the time for one full revolution,"Physics concept, law, or relation",Circular and rotational motion,,D1,Atomic,direct-match,1,212-M1-044,212-M1-044,Finding the Time for One Revolution While Speeding Up,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-2.md,later,High,concept_equivalent,The lesson treats the period as the elapsed time for one revolution while solving a rotation problem.,1,0.3918,,,,semantically-reviewed,false,true
P212-0034,M1,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,Angular speed is angle divided by time.,angular speed is angle divided by time,"Physics concept, law, or relation",Kinematics,Geometry and trigonometry,D2,Atomic,direct-match,1,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,earlier,High,concept_equivalent,The lesson defines angular frequency as angle swept per unit time.,,,,,,semantically-reviewed,false,false
P212-0035,M1,212-M1-040,212-M1-040,Placing Angular Separation in a Speed Formula,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-4.md,Know that one full rotation is $2\pi$ radians.,know that one full rotation is 2\pi radians,"Physics concept, law, or relation",Circular and rotational motion,,D1,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Convert Revolutions Per Second to Angular Frequency,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,0.2696,algorithmic-screen-only,false,true
P212-0036,M1,212-M1-040,212-M1-040,Placing Angular Separation in a Speed Formula,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-4.md,Know that a period $T$ is the time for one full rotation.,know that a period t is the time for one full rotation,"Physics concept, law, or relation",Circular and rotational motion,,D1,Atomic,direct-match,1,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,same-date,High,concept_equivalent,The lesson explicitly distinguishes the period as the time for one full revolution.,1,0.35,,,,semantically-reviewed,false,false
P212-0037,M1,212-M1-040,212-M1-040,Placing Angular Separation in a Speed Formula,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-4.md,Know that speed is distance divided by time: $v=\dfrac{\text{distance}}{\text{time}}$.,know that speed is distance divided by time: v=distancetime,"Physics concept, law, or relation",Kinematics,,D1,Atomic,direct-match,1,212-M1-038,212-M1-038,Deciding Where Distance Belongs in a Speed Formula,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-2.md,same-date,High,worked_move_equivalent,The lesson directly practices placing distance over time in a speed calculation.,,,,,,semantically-reviewed,false,false
P212-0038,M1,212-M1-041,212-M1-041,Bullet Speed from Rotating Disk Alignment,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-5.md,Constant speed means $v=\dfrac{\text{distance}}{\text{time}}$.,constant speed means v=distancetime,"Physics concept, law, or relation",Kinematics,,D2,Atomic,direct-match,1,212-M1-038,212-M1-038,Deciding Where Distance Belongs in a Speed Formula,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-2.md,same-date,High,worked_move_equivalent,The lesson compares distances covered in a fixed time using speed equals distance over time.,,,,,,semantically-reviewed,false,false
P212-0039,M1,212-M1-041,212-M1-041,Bullet Speed from Rotating Disk Alignment,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-5.md,One full rotation is $2\pi$ radians.,one full rotation is 2\pi radians,"Physics concept, law, or relation",Circular and rotational motion,,D1,Atomic,direct-match,1,212-M1-033,212-M1-033,Convert Revolutions Per Second to Angular Frequency,M1,2026-06-24,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,earlier,High,worked_move_equivalent,The lesson explicitly teaches that a complete rotation is two pi radians.,1,0.2703,,,,semantically-reviewed,false,false
P212-0040,M1,212-M1-041,212-M1-041,Bullet Speed from Rotating Disk Alignment,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-5.md,A period $T$ is the time for one full rotation.,a period t is the time for one full rotation,"Physics concept, law, or relation",Circular and rotational motion,,D1,Atomic,direct-match,1,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,same-date,High,concept_equivalent,The lesson identifies the period as the time required for one full revolution.,1,0.3539,,,,semantically-reviewed,false,false
P212-0041,M1,212-M1-003,212-M1-003,Ranking Radial Accelerations,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-6.md,Recognize speed $v$ and radius $r$ in a circular-motion diagram.,recognize speed v and radius r in a circular-motion diagram,Representation and spatial literacy,Kinematics | Circular and rotational motion,,D2,Atomic,direct-match,1,212-M1-064,212-M1-064,Comparing Centripetal Acceleration At Fixed Speed,M1,2026-07-05,/Users/jake/Developer/study/vault/212/M1/2026-07-05-PQ-1/Lessons/Problem-1.md,later,Medium,worked_move_equivalent,The lesson repeatedly reads speed and circular-path radius from diagrams before comparing v squared over r.,1,0.4081,,,,semantically-reviewed,false,true
P212-0042,M1,212-M1-003,212-M1-003,Ranking Radial Accelerations,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-6.md,Square small whole numbers.,square small whole numbers,Mathematical technique,,Numeracy and arithmetic,D1,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Sound Intensity at a New Distance,/Users/jake/Developer/study/vault/212/M5/2026-07-28-M5-3/Lessons/Problem-2.md,0.1755,algorithmic-screen-only,false,true
P212-0043,M1,212-M1-003,212-M1-003,Ranking Radial Accelerations,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-6.md,Be able to compare simple numbers and fractions.,be able to compare simple numbers and fractions,Mathematical technique,,Numeracy and arithmetic,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Why a Pendulum Becomes Simple Harmonic Motion,/Users/jake/Developer/study/vault/212/M4/2026-07-22-M4-2/Lessons/pendulum-shm-small-angle-derivation.md,0.1858,algorithmic-screen-only,false,true
P212-0044,M1,212-M1-042,212-M1-042,Angle Turned Before Reversal,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-7.md,Solve an equation of the form $A-Bt^2=0$ by isolating $t^2$.,solve an equation of the form a-bt^2=0 by isolating t^2,Mathematical technique,,Algebra and formula manipulation,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding Angular Velocity From Angular Acceleration,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-4.md,0.1557,algorithmic-screen-only,false,true
