node_id,lesson_id,topic_code,module,assignment_folder,assignment_date,assignment_code,assignment_type,lesson_file,lesson_kind,problem_number,lesson_title,source_relative_path,source_path,headings,incoming_prerequisite_edge_count,dependent_lesson_count,outgoing_matched_prerequisite_count,prerequisite_hub,cycle_flag,cycle_component_id,cycle_member_count
212-M1-040,212-M1-040,MTH212.M1.40,M1,2026-06-25-M1-2,2026-06-25,M1-2,Lecture,Problem-4.md,Problem lesson,4,Placing Angular Separation in a Speed Formula,M1/2026-06-25-M1-2/Lessons/Problem-4.md,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-4.md,Relate Angle to Fraction of a Turn | Turn Rotation Time Into Bullet Speed | Decide Whether an Angle Belongs Upstairs or Downstairs | Avoid the Angle Trap,0,0,2,false,false,,
212-M1-041,212-M1-041,MTH212.M1.41,M1,2026-06-25-M1-2,2026-06-25,M1-2,Lecture,Problem-5.md,Problem lesson,5,Bullet Speed from Rotating Disk Alignment,M1/2026-06-25-M1-2/Lessons/Problem-5.md,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-5.md,Turn Angular Separation Into Flight Time | Use Flight Time to Find Speed | Build the Symbolic Formula | Substitute the Given Values | Avoid the Full-Period Trap,0,0,3,false,false,,
212-M1-003,212-M1-003,MTH212.M1.03,M1,2026-06-25-M1-2,2026-06-25,M1-2,Lecture,Problem-6.md,Problem lesson,6,Ranking Radial Accelerations,M1/2026-06-25-M1-2/Lessons/Problem-6.md,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-6.md,Calculate Radial Acceleration From Speed and Radius | Use the Square on Speed | Use the Radius in the Denominator | Rank Several Circular Motions | Check the Common Trap,7,7,1,true,false,,
212-M1-042,212-M1-042,MTH212.M1.42,M1,2026-06-25-M1-2,2026-06-25,M1-2,Lecture,Problem-7.md,Problem lesson,7,Angle Turned Before Reversal,M1/2026-06-25-M1-2/Lessons/Problem-7.md,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-7.md,Find the Reversal Time | Integrate Angular Velocity | Use the Correct Bounds | Match the Target Problem,0,0,0,false,false,,
212-M1-043,212-M1-043,MTH212.M1.43,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-1.md,Problem lesson,1,Converting Revolutions per Minute to Radians per Second,M1/2026-06-28-HW-1/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-1.md,Choosing the Conversion Factors | Checking the Remaining Units | Simplifying the Number | Avoiding the Minute-to-Second Trap | Matching the Answer Choices,4,4,1,true,true,CYCLE-001,4
212-M1-044,212-M1-044,MTH212.M1.44,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-2.md,Problem lesson,2,Finding the Time for One Revolution While Speeding Up,M1/2026-06-28-HW-1/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-2.md,Converting a Revolution to Distance | Writing the Distance Equation | Solving the Quadratic for Time | Keeping the Positive Symbolic Root | Matching the Answer Choices,1,1,0,false,false,,
212-M1-045,212-M1-045,MTH212.M1.45,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-3.md,Problem lesson,3,Finding the Units of a Coefficient in Angular Acceleration,M1/2026-06-28-HW-1/Lessons/Problem-3.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-3.md,Matching Units in a Sum | Dividing Out a Time Power | Distinguishing the Coefficient From the Constant Term | Checking Variants of the Same Move,0,0,1,false,false,,
212-M1-046,212-M1-046,MTH212.M1.46,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-4.md,Problem lesson,4,Finding Angular Velocity From Angular Acceleration,M1/2026-06-28-HW-1/Lessons/Problem-4.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-4.md,Integrating Angular Acceleration | Separating Given Constants From the Integration Constant | Using the Initial Angular Velocity | Matching the Homework Form,3,2,1,true,false,,
212-M1-047,212-M1-047,MTH212.M1.47,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-5.md,Problem lesson,5,Finding Angular Position From Angular Acceleration,M1/2026-06-28-HW-1/Lessons/Problem-5.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-5.md,Integrating Acceleration to Velocity | Integrating Velocity to Position | Using Initial Conditions | Keeping the Coefficients Straight | Matching the Requested Formula,2,2,3,false,false,,
212-M1-006,212-M1-006,MTH212.M1.06,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-6.md,Problem lesson,6,Recognizing Tangential Velocity in Circular Motion,M1/2026-06-28-HW-1/Lessons/Problem-6.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-6.md,Using the Radius and Tangent Directions | Checking the Relationship Without Knowing Clockwise or Counterclockwise | Distinguishing Velocity From Acceleration | Matching the True-or-False Statement,9,8,2,true,true,CYCLE-003,3
212-M1-007,212-M1-007,MTH212.M1.07,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-7.md,Problem lesson,7,Comparing Centripetal Acceleration with the Radius Vector,M1/2026-06-28-HW-1/Lessons/Problem-7.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-7.md,Reading the Radius Vector | Finding the Acceleration Direction | Comparing the Two Directions | Separating Velocity from Acceleration | Answering the True-or-False Claim,5,5,1,true,false,,
212-M1-001,212-M1-001,MTH212.M1.01,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-8.md,Problem lesson,8,Relating Tangential Speed to Angular Speed,M1/2026-06-28-HW-1/Lessons/Problem-8.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-8.md,Converting Angle Swept to Arc Length | Turning Arc Length per Time Into Speed | Checking the Units | Reading Magnitude Statements | Checking the True-or-False Claim,5,3,1,true,false,,
212-M1-004,212-M1-004,MTH212.M1.04,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-9.md,Problem lesson,9,Checking the Magnitude of Centripetal Acceleration,M1/2026-06-28-HW-1/Lessons/Problem-9.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-9.md,Recognizing the Direction of Circular Acceleration | Using the Speed Formula for the Magnitude | Rewriting the Magnitude With Angular Speed | Checking a True-or-False Statement,8,8,4,true,false,,
212-M1-048,212-M1-048,MTH212.M1.48,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-10.md,Problem lesson,10,Identifying Velocity Direction in Non-Uniform Circular Motion,M1/2026-06-28-HW-1/Lessons/Problem-10.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-10.md,Reading the Circular-Motion Cue | Separating Speed Changes From Velocity Direction | Checking Perpendicularity With Components | Checking the Homework Claim,4,3,3,true,true,CYCLE-003,3
212-M1-049,212-M1-049,MTH212.M1.49,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-11.md,Problem lesson,11,Testing Whether Circular-Motion Acceleration Is Perpendicular to the Radius,M1/2026-06-28-HW-1/Lessons/Problem-11.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-11.md,Separate Radial and Tangential Acceleration | Use the Perpendicular Test | Handle Non-Uniform Speed | Check the True-or-False Statement,2,2,1,false,false,,
212-M1-050,212-M1-050,MTH212.M1.50,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-12.md,Problem lesson,12,Checking Speed From Angular Speed in Non-Uniform Circular Motion,M1/2026-06-28-HW-1/Lessons/Problem-12.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-12.md,Separating Velocity Direction From Speed | Using Instantaneous Angular Speed | Checking the Units of $r\omega$ | Why Non-Uniform Motion Still Uses $r\omega$ | Checking the True-or-False Claim,1,1,4,false,true,CYCLE-003,3
212-M1-008,212-M1-008,MTH212.M1.08,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-13.md,Problem lesson,13,Choosing the Acceleration Direction When Circular Motion Speeds Up,M1/2026-06-28-HW-1/Lessons/Problem-13.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-13.md,Separate the Two Direction Cues | Use Speeding Up to Set the Tangential Direction | Add the Inward and Tangential Directions | Check the Original Arrow Choice,2,2,3,false,true,CYCLE-004,3
212-M1-051,212-M1-051,MTH212.M1.51,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-14.md,Problem lesson,14,Matching Angular Velocity to an Angular Position Graph,M1/2026-06-28-HW-1/Lessons/Problem-14.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-14.md,Read Velocity as Slope | Mark Where Velocity Is Zero | Match the Sign Pattern | Use Steepness to Choose the Best Graph | Match the Homework Graph,3,3,3,true,true,CYCLE-005,2
212-M1-052,212-M1-052,MTH212.M1.52,M1,2026-06-28-HW-1,2026-06-28,HW-1,Homework,Problem-15.md,Problem lesson,15,Matching Angular Acceleration to a Position Graph,M1/2026-06-28-HW-1/Lessons/Problem-15.md,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-15.md,Reading Curvature As Acceleration | Using Turning Points As Sign Checks | Finding Inflection Points | Choosing The Matching Graph | Avoiding Slope And Height Traps,2,1,3,false,true,CYCLE-005,2
212-M1-016,212-M1-016,MTH212.M1.16,M1,2026-06-29-M1-3,2026-06-29,M1-3,Lecture,Problem-1.md,Problem lesson,1,Comparing Ferris Wheel Normal Forces,M1/2026-06-29-M1-3/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-06-29-M1-3/Lessons/Problem-1.md,Aim the Radial Equation Inward | Top of the Wheel | Bottom of the Wheel | Compare the Two Normal Forces,0,0,2,false,false,,
212-M1-002,212-M1-002,MTH212.M1.02,M1,2026-06-29-M1-3,2026-06-29,M1-3,Lecture,Problem-2.md,Problem lesson,2,Tangential Speed From Angular Velocity,M1/2026-06-29-M1-3/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-29-M1-3/Lessons/Problem-2.md,Use Radius Times Angular Velocity | Keep Units and Round the Product | Avoid Radius and Diameter Traps,2,2,0,false,false,,
212-M1-053,212-M1-053,MTH212.M1.53,M1,2026-06-29-M1-3,2026-06-29,M1-3,Lecture,Problem-3.md,Problem lesson,3,Comparing Ferris-Wheel Normal Forces at the Top and Bottom,M1/2026-06-29-M1-3/Lessons/Problem-3.md,/Users/jake/Developer/study/vault/212/M1/2026-06-29-M1-3/Lessons/Problem-3.md,Choose the Inward Direction at Each Point | Write the Two Radial Force Equations | Solve Each Equation for the Normal Force | Compare the Two Normal Forces,0,0,2,false,false,,
212-M1-017,212-M1-017,MTH212.M1.17,M1,2026-06-29-M1-3,2026-06-29,M1-3,Lecture,Problem-4.md,Problem lesson,4,Finding the Normal Force at the Bottom of a Ferris Wheel,M1/2026-06-29-M1-3/Lessons/Problem-4.md,/Users/jake/Developer/study/vault/212/M1/2026-06-29-M1-3/Lessons/Problem-4.md,Choose the Radial Direction | Compute the Centripetal Force Term | Solve for the Normal Force | Avoid the Top-Bottom Sign Mix-Up,2,2,2,false,false,,
212-M1-018,212-M1-018,MTH212.M1.18,M1,2026-06-29-M1-3,2026-06-29,M1-3,Lecture,Problem-5.md,Problem lesson,5,Normal Force at the Top of a Ferris Wheel,M1/2026-06-29-M1-3/Lessons/Problem-5.md,/Users/jake/Developer/study/vault/212/M1/2026-06-29-M1-3/Lessons/Problem-5.md,Find the Inward Direction at the Top | Write the Top-Position Force Balance | Substitute Angular Speed into the Force Balance | Avoid the Bottom-Position Sign Error,0,0,2,false,false,,
212-M1-014,212-M1-014,MTH212.M1.14,M1,2026-06-29-M1-3,2026-06-29,M1-3,Lecture,Problem-6.md,Problem lesson,6,Threshold Angular Speed Before Slipping,M1/2026-06-29-M1-3/Lessons/Problem-6.md,/Users/jake/Developer/study/vault/212/M1/2026-06-29-M1-3/Lessons/Problem-6.md,Set Up the Threshold Equation | Cancel Mass and Solve for Angular Speed | Compute the Threshold Speed | Avoid the Extra-Given Trap,0,0,2,false,false,,
212-M1-021,212-M1-021,MTH212.M1.21,M1,2026-06-30-M1-4,2026-06-30,M1-4,Lecture,Problem-1.md,Problem lesson,1,Choosing a Free-Body Diagram for an Icy Banked Curve,M1/2026-06-30-M1-4/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-06-30-M1-4/Lessons/Problem-1.md,Start With Real Forces | Point Weight and Normal | Reject Extra Motion Arrows | Match the Diagram,4,3,3,true,true,CYCLE-006,8
212-M1-012,212-M1-012,MTH212.M1.12,M1,2026-06-30-M1-4,2026-06-30,M1-4,Lecture,Problem-2.md,Problem lesson,2,Free-Body Diagrams for Level Circular Motion,M1/2026-06-30-M1-4/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-30-M1-4/Lessons/Problem-2.md,Balance the Vertical Forces | Point the Sideways Force Toward the Center | Use the View to Choose Left or Right | Reject Extra or Outward Forces | Match the Original Diagram,5,5,3,true,true,CYCLE-006,8
212-M1-013,212-M1-013,MTH212.M1.13,M1,2026-06-30-M1-4,2026-06-30,M1-4,Lecture,Problem-3.md,Problem lesson,3,Finding Static Friction on a Flat Curve,M1/2026-06-30-M1-4/Lessons/Problem-3.md,/Users/jake/Developer/study/vault/212/M1/2026-06-30-M1-4/Lessons/Problem-3.md,Identify the Inward Force | Set the Limiting-Speed Equation | Cancel Mass and Solve for the Coefficient | Substitute the Values | Check Mass and Units,0,0,3,false,false,,
212-M1-022,212-M1-022,MTH212.M1.22,M1,2026-06-30-M1-4,2026-06-30,M1-4,Lecture,Problem-4.md,Problem lesson,4,Finding the Speed for a Frictionless Banked Curve,M1/2026-06-30-M1-4/Lessons/Problem-4.md,/Users/jake/Developer/study/vault/212/M1/2026-06-30-M1-4/Lessons/Problem-4.md,Resolve the Normal Force | Derive the No-Friction Speed Formula | Compute the Speed from Radius and Bank Angle | Check the Original Problem,4,3,2,true,true,CYCLE-006,8
212-M1-023,212-M1-023,MTH212.M1.23,M1,2026-06-30-M1-4,2026-06-30,M1-4,Lecture,Problem-5.md,Problem lesson,5,Choosing Friction Direction on a Banked Curve,M1/2026-06-30-M1-4/Lessons/Problem-5.md,/Users/jake/Developer/study/vault/212/M1/2026-06-30-M1-4/Lessons/Problem-5.md,Match the No-Friction Speed | Handle a Speed That Is Too High | Handle a Speed That Is Too Low | Apply the Answer Choices,0,0,2,false,false,,
212-M1-024,212-M1-024,MTH212.M1.24,M1,2026-06-30-M1-4,2026-06-30,M1-4,Lecture,Problem-6.md,Problem lesson,6,Maximum Speed on a Frictional Banked Curve,M1/2026-06-30-M1-4/Lessons/Problem-6.md,/Users/jake/Developer/study/vault/212/M1/2026-06-30-M1-4/Lessons/Problem-6.md,Friction Points Down the Bank at Maximum Speed | Write the Radial and Vertical Force Equations | Divide the Equations to Isolate Speed | Evaluate the Formula Carefully,2,2,2,false,false,,
212-M1-026,212-M1-026,MTH212.M1.26,M1,2026-06-30-M1-4,2026-06-30,M1-4,Lecture,Problem-7.md,Problem lesson,7,Choosing a Free-Body Diagram for a Conical Pendulum,M1/2026-06-30-M1-4/Lessons/Problem-7.md,/Users/jake/Developer/study/vault/212/M1/2026-06-30-M1-4/Lessons/Problem-7.md,List Only Real Forces | Point Each Force in Its Physical Direction | Use Centripetal Acceleration as a Net-Force Check | Apply the Answer Choices,1,1,2,false,false,,
212-M1-009,212-M1-009,MTH212.M1.09,M1,2026-07-02-M1-5,2026-07-02,M1-5,Lecture,Problem-1.md,Problem lesson,1,Choosing the Net Force Direction for Speeding-Up Circular Motion,M1/2026-07-02-M1-5/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-07-02-M1-5/Lessons/Problem-1.md,Split the Net Force Into Two Components | Find the Forward Tangent | Combine Inward and Forward | Avoid the Tangent-Only Trap | Original-Style Check,1,1,3,false,false,,
212-M1-054,212-M1-054,MTH212.M1.54,M1,2026-07-02-M1-5,2026-07-02,M1-5,Lecture,Problem-2.md,Problem lesson,2,Choosing the Net Force Direction for Clockwise Speeding Up,M1/2026-07-02-M1-5/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-07-02-M1-5/Lessons/Problem-2.md,Convert Net Force to Acceleration Direction | Mark the Inward Radial Component | Mark the Forward Tangential Component | Combine the Components and Match the Arrow,3,3,4,true,true,CYCLE-004,3
212-M1-055,212-M1-055,MTH212.M1.55,M1,2026-07-02-M1-5,2026-07-02,M1-5,Lecture,Problem-3.md,Problem lesson,3,Finding Radial Acceleration From Inward Forces,M1/2026-07-02-M1-5/Lessons/Problem-3.md,/Users/jake/Developer/study/vault/212/M1/2026-07-02-M1-5/Lessons/Problem-3.md,Set the Inward Radial Equation | Resolve Weight Onto the Radial Axis | Solve for the Radial Acceleration | Use the Given Numbers and Round,7,6,1,true,false,,
212-M1-056,212-M1-056,MTH212.M1.56,M1,2026-07-02-M1-5,2026-07-02,M1-5,Lecture,Problem-4.md,Problem lesson,4,Finding Tangential Acceleration in a Vertical Circle,M1/2026-07-02-M1-5/Lessons/Problem-4.md,/Users/jake/Developer/study/vault/212/M1/2026-07-02-M1-5/Lessons/Problem-4.md,Separate Radial and Tangential Forces | Choose the Tangential Component of Weight | Convert Tangential Force to Acceleration | Ignore Radial Data and Sign Traps,3,2,2,true,true,CYCLE-006,8
212-M1-057,212-M1-057,MTH212.M1.57,M1,2026-07-02-M1-5,2026-07-02,M1-5,Lecture,Problem-5.md,Problem lesson,5,Total Acceleration From Radial and Tangential Components,M1/2026-07-02-M1-5/Lessons/Problem-5.md,/Users/jake/Developer/study/vault/212/M1/2026-07-02-M1-5/Lessons/Problem-5.md,Combine Perpendicular Acceleration Components | Find the Components First | Keep Direction Separate From Magnitude | Apply the Assignment Values,1,1,2,false,true,CYCLE-006,8
212-M1-058,212-M1-058,MTH212.M1.58,M1,2026-07-02-M1-5,2026-07-02,M1-5,Lecture,Problem-6.md,Problem lesson,6,Release Height from a Vertical Circle,M1/2026-07-02-M1-5/Lessons/Problem-6.md,/Users/jake/Developer/study/vault/212/M1/2026-07-02-M1-5/Lessons/Problem-6.md,Turn Radial Forces Into Speed | Find the Upward Release Component | Combine Speed With Projectile Height | Finish the Assignment Calculation,0,0,1,false,false,,
212-M1-005,212-M1-005,MTH212.M1.05,M1,2026-07-03-HW-2,2026-07-03,HW-2,Homework,Problem-1.md,Problem lesson,1,Recognizing Uniform Circular Motion,M1/2026-07-03-HW-2/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-1.md,Check the Two Required Features | Use Period as Evidence for Constant Speed | Avoid Force-Based Distractions | Choose the Best Explanation,3,3,2,true,false,,
212-M1-027,212-M1-027,MTH212.M1.27,M1,2026-07-03-HW-2,2026-07-03,HW-2,Homework,Problem-2.md,Problem lesson,2,Finding the Radius from an Angled String,M1/2026-07-03-HW-2/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-2.md,Turn the Side View Into a Right Triangle | Choose Cosine When the Angle Starts at the Horizontal | Do Not Swap the Reference Line | Apply the Rule to the Conical Pendulum,0,0,0,false,false,,
212-M1-059,212-M1-059,MTH212.M1.59,M1,2026-07-03-HW-2,2026-07-03,HW-2,Homework,Problem-3.md,Problem lesson,3,Finding Centripetal Force From Radius and Period,M1/2026-07-03-HW-2/Lessons/Problem-3.md,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-3.md,Turn Period Into Speed | Substitute Speed Into Centripetal Force | Match the Formula to the Answer Choices | Check How the Period Affects the Force,4,4,3,true,false,,
212-M1-011,212-M1-011,MTH212.M1.11,M1,2026-07-03-HW-2,2026-07-03,HW-2,Homework,Problem-4.md,Problem lesson,4,Finding the Net-Force Direction in Circular Motion,M1/2026-07-03-HW-2/Lessons/Problem-4.md,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-4.md,Point Net Force Toward the Circle Center | Use the Side View to Name the Direction | Separate Net Force From Individual Forces | Check the Opposite Side,5,4,2,true,true,CYCLE-004,3
212-M1-028,212-M1-028,MTH212.M1.28,M1,2026-07-03-HW-2,2026-07-03,HW-2,Homework,Problem-5.md,Problem lesson,5,Deriving the Angle in a Conical Pendulum,M1/2026-07-03-HW-2/Lessons/Problem-5.md,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-5.md,Use the Given Angle to Choose Components | Write the Radial and Vertical Force Equations | Replace the Circular Acceleration | Solve for the Angle,3,2,1,true,true,CYCLE-006,8
212-M1-060,212-M1-060,MTH212.M1.60,M1,2026-07-03-HW-2,2026-07-03,HW-2,Homework,Problem-6.md,Problem lesson,6,Writing the Vertical Force Equation on a Banked Track,M1/2026-07-03-HW-2/Lessons/Problem-6.md,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-6.md,Resolve the Normal Force | Resolve Friction Pointing Up the Track | Use Zero Vertical Acceleration | Avoid Swapping Sine and Cosine,8,8,3,true,true,CYCLE-006,8
212-M1-061,212-M1-061,MTH212.M1.61,M1,2026-07-03-HW-2,2026-07-03,HW-2,Homework,Problem-7.md,Problem lesson,7,Resolving Banked-Track Forces Along the Centripetal Direction,M1/2026-07-03-HW-2/Lessons/Problem-7.md,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-7.md,Choose the Inward Axis | Resolve the Normal Force | Resolve Friction Pointing Up the Track | Write the Centripetal Force Equation,4,4,2,true,false,,
212-M1-062,212-M1-062,MTH212.M1.62,M1,2026-07-03-HW-2,2026-07-03,HW-2,Homework,Problem-8.md,Problem lesson,8,Finding Uphill Friction on a Banked Curve,M1/2026-07-03-HW-2/Lessons/Problem-8.md,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-8.md,Choose Components from the Given Friction Direction | Write the Radial and Vertical Force Equations | Eliminate the Normal Force | Match the Formula to the Answer Choices,0,0,2,false,false,,
